split,trade_date,control_set,available_controls,n,raw_ic,residual_ic,score_coef_after_controls
test,20250113,full_style,"lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_turnover_rate_f,lag1_turnover_20d_mean,lag1_ret_20d_std,lag1_ret_60d_std,lag1_ret_20d,lag1_ret_60d_mean,lag1_beta_20d,lag1_beta_60d,lag1_pb_winsor,lag1_pe_ttm_winsor",90,-0.15952227874599728,0.03872576237709195,0.0021075849931759365
test,20250113,industry_proxy_full_style,"lag1_industry_turnover_rank,lag1_industry_amount_rank,lag1_industry_pb_rank,lag1_industry_mv_rank,lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_turnover_rate_f,lag1_ret_20d_std,lag1_ret_20d,lag1_beta_60d,lag1_pb_winsor",90,-0.15952227874599728,-0.02365382281863778,-0.0012072088172148704
test,20250114,none,,90,-0.014364184889136886,-0.014364184889136886,-0.0006826083792135149
test,20250114,size,"lag1_log_circ_mv,lag1_log_total_mv",90,-0.014364184889136886,-0.01193008129786762,-0.0005600364747076232
test,20250114,size_liquidity,"lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_amount_20d_mean",90,-0.014364184889136886,0.11139252347731773,0.005901882193229849
test,20250114,full_style,"lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_turnover_rate_f,lag1_turnover_20d_mean,lag1_ret_20d_std,lag1_ret_60d_std,lag1_ret_20d,lag1_ret_60d_mean,lag1_beta_20d,lag1_beta_60d,lag1_pb_winsor,lag1_pe_ttm_winsor",90,-0.014364184889136886,0.09963042997949391,0.005456127280398119
test,20250114,industry_proxy_full_style,"lag1_industry_turnover_rank,lag1_industry_amount_rank,lag1_industry_pb_rank,lag1_industry_mv_rank,lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_turnover_rate_f,lag1_ret_20d_std,lag1_ret_20d,lag1_beta_60d,lag1_pb_winsor",90,-0.014364184889136886,0.004608506874366022,0.00023098598218989513
test,20250115,none,,90,-0.020727830934454423,-0.020727830934454423,-0.0012991075291936447
test,20250115,size,"lag1_log_circ_mv,lag1_log_total_mv",90,-0.020727830934454423,-0.0001909441035660034,-1.1728579176020632e-05
test,20250115,size_liquidity,"lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_amount_20d_mean",90,-0.020727830934454423,0.1583611755630225,0.011483444288276941
