trade_date,ts_code,lag1_net_mf_strength_20d_mean,lag1_net_mf_strength_60d_mean,lag1_close_position,lag1_excess_ret_10d_mean,lag1_excess_ret_1d,lag1_excess_ret_5d_mean,lag1_industry_neutral_ret_1d,lag1_ret_1d,lag1_ret_20d,lag1_ret_5d_mean,lag1_bollinger_z_20d,lag1_ma_ratio_20_60,lag1_macd_hist,lag1_turnover_cost_proxy__resid_style,lag1_turnover_20d_std__resid_style,lag1_turnover_60d_std__resid_style,lag1_amount_rank_pct__resid_style,lag1_amount_log__resid_style,amount
20260316,300693.SZ,0.0,0.0,0.6931818181818201,0.010308180992309691,-0.01193217500523347,0.004238195437534476,-0.01193217500523347,-0.01193217500523347,0.0,0.004238195437534476,0.0,1.0,0.0,0.0,0.0,0.0,0.8644160583941606,13.550538391073458,767226.304
20260317,300693.SZ,0.0,0.0,0.034374999999999795,0.0031661343035249033,-0.06111228589553819,-0.015272397334793509,-0.06111228589553819,-0.06111228589553819,0.0,-0.015272397334793509,0.0,1.0,0.0,0.0,0.0,0.0,0.8849945235487404,13.60869252103472,813166.603
20260318,300693.SZ,0.0,0.0,0.8461538461538491,0.0020034470016611072,0.0060321715817694965,-0.021282457863800452,0.0060321715817694965,0.0060321715817694965,0.0,-0.021282457863800452,0.0,1.0,0.0,0.0,0.0,0.0,0.8760722759627669,13.454567319230273,697017.561
20260319,300693.SZ,0.0,0.0,0.2649006622516585,0.0012158471747599653,-0.0076576576576575794,-0.02381398939533195,-0.0076576576576575794,-0.0076576576576575794,0.0,-0.02381398939533195,0.0,1.0,0.0,0.0,0.0,0.0,0.840116809636795,13.241787932585588,563423.113
20260320,300693.SZ,0.0,0.0,0.6647887323943665,0.005796596725442027,0.05037271289812506,-0.004859446815706936,0.05037271289812506,0.05037271289812506,0.0,-0.004859446815706936,0.0,1.0,0.0,0.0,0.0,0.0,0.9272030651340997,13.989623573342072,1190189.068
20260323,300693.SZ,0.0,0.0,0.16554054054054115,-0.00328226719073208,-0.04164859002169197,-0.010802729818998635,-0.04164859002169197,-0.04164859002169197,0.0,-0.010802729818998635,0.0,1.0,0.0,0.0,0.0,0.0,0.8871055991245669,13.695045940829948,886507.454
20260324,300693.SZ,0.0,0.0,0.7419354838709665,-0.008612975022850477,-0.016866400355082245,-0.001953552710907447,-0.016866400355082245,-0.016866400355082245,0.0,-0.001953552710907447,0.0,1.0,0.0,0.0,0.0,0.0,0.8606093778507572,13.377231664796026,645144.831
20260325,300693.SZ,0.0,0.0,0.6368159203980112,-0.01051947591619815,0.017017465293327483,0.00024350603140415038,0.017017465293327483,0.017017465293327483,0.0,0.00024350603140415038,0.0,1.0,0.0,0.0,0.0,0.0,0.8878146661802262,13.606466080939555,811358.148
20260326,300693.SZ,0.0,0.0,0.24873096446700532,-0.01237805052644313,-0.013585746102449892,-0.000942111657554312,-0.013585746102449892,-0.013585746102449892,0.0,-0.000942111657554312,0.0,1.0,0.0,0.0,0.0,0.0,0.8558657179346835,13.264503628490335,576368.155
20260327,300693.SZ,0.0,0.0,0.4030612244897989,-0.006511779534954731,0.014262709914883986,-0.008164112254202526,0.014262709914883986,0.014262709914883986,0.0,-0.008164112254202526,0.0,1.0,0.0,0.0,0.0,0.0,0.8382621394669587,13.10658922911947,492173.806
20260330,300693.SZ,0.0,0.0,0.7316176470588219,-0.0032333191380060967,0.020852428964252878,0.0043360915429864425,0.020852428964252878,0.020852428964252878,0.0,0.0043360915429864425,0.0,1.0,0.0,0.0,0.0,0.0,0.8891526661796932,13.53573988767741,755956.085
20260331,300693.SZ,0.0,0.0,0.3234042553191509,0.0013678801524717788,-0.015100292990759434,0.004689313015851004,-0.015100292990759434,-0.015100292990759434,0.0,0.004689313015851004,0.0,1.0,0.0,0.0,0.0,0.0,0.85187887632251,13.25291810314854,569729.148
20260401,300693.SZ,0.0,0.0,0.5666666666666693,0.00025069651384790337,-0.005139664804469257,0.00025788699629165636,-0.005139664804469257,-0.005139664804469257,-0.009566184649610676,0.00025788699629165636,0.0,1.0,0.0,0.0,0.0,0.0,0.8477666362807658,13.218942844050453,550697.551
20260402,300693.SZ,0.0,0.0,0.19105691056910518,-0.0005957285331071982,-0.016121908127208595,-0.0002493454086600844,-0.016121908127208595,-0.016121908127208595,-0.027504911591355707,-0.0002493454086600844,0.0,1.0,0.0,0.0,0.0,0.0,0.9115770282588879,13.692375513826834,884143.256
20260403,300693.SZ,0.0,0.0,0.4263959390862928,-0.005300773909298451,0.0033222591362125353,-0.0024374355643943745,0.0033222591362125353,0.0033222591362125353,-0.019692707206232507,-0.0024374355643943745,0.0,1.0,0.0,0.0,0.0,0.0,0.9256288734961721,13.701152775798695,891937.779
20260407,300693.SZ,0.0,0.0,0.09009009009009142,-0.005191153837422968,-0.04055238930293714,-0.014718399217832379,-0.04055238930293714,-0.04055238930293714,-0.0681285927187566,-0.014718399217832379,0.0,1.0,0.0,0.0,0.0,0.0,0.9055433989788475,13.467512706082672,706099.393
20260408,300693.SZ,0.0,0.0,0.9319371727748679,0.0001343002142577543,0.03638814016172498,-0.004420712587335496,0.03638814016172498,0.03638814016172498,-0.056827473426001696,-0.004420712587335496,0.0,1.0,0.0,0.0,0.0,0.0,0.8746812386156648,13.592610237067149,800193.608
20260409,300693.SZ,0.0,0.0,0.5529157667386604,0.0035206163072341924,0.05088062622309186,0.006783345618176728,0.05088062622309186,0.05088062622309186,-0.03820895522388068,0.006783345618176728,0.0,1.0,0.0,0.0,0.0,0.0,0.9317064287015115,14.051823135756916,1266569.15
20260410,300693.SZ,0.0,0.0,0.29629629629629495,0.004042370833797171,-0.008368200836820106,0.008334087076254427,-0.008368200836820106,-0.008368200836820106,-0.05671641791044779,0.008334087076254427,0.0,1.0,0.0,0.0,0.0,0.0,0.9075523202911738,13.83088688106452,1015494.147
20260413,300693.SZ,0.0,0.0,0.19318181818182034,0.002594823246564093,-0.00021276595744679216,0.007627082057522561,-0.00021276595744679216,-0.00021276595744679216,-0.016534114692339896,0.007627082057522561,0.0,1.0,0.0,0.0,0.0,0.0,0.8884237349836185,13.591266267308736,799118.893
20260414,300693.SZ,0.0,0.0,0.9455782312925182,0.007993857079698564,0.07484276729559758,0.030706113377229505,0.07484276729559758,0.07484276729559758,0.0862288135593221,0.030706113377229505,0.0,1.0,0.0,0.0,0.0,0.0,0.9372270742358079,14.198655472885024,1466889.589
20260415,300693.SZ,0.0,0.0,0.16666666666666724,0.006812778734468727,-0.02691107644305779,0.01804627005627295,-0.02691107644305779,-0.02691107644305779,0.12387387387387383,0.01804627005627295,0.0,1.0,0.0,0.0,0.0,0.0,0.8955223880597015,13.80936304667835,993870.346
20260416,300693.SZ,0.0,0.0,0.5127478753541082,0.009144927033097484,0.0181818181818183,0.011506508448018237,0.0181818181818183,0.0181818181818183,0.13168998445480784,0.011506508448018237,0.0,1.0,0.0,0.0,0.0,0.0,0.9163332120771189,13.985956648879528,1185832.723
20260417,300693.SZ,0.0,0.0,0.7376425855513312,0.011444335595671085,0.006872177498527421,0.014554584115087744,0.006872177498527421,0.006872177498527421,0.1638674534725375,0.014554584115087744,0.0,1.0,0.0,0.0,0.0,0.0,0.8917591413498271,13.768610480305435,954181.737
20260420,300693.SZ,0.0,0.0,0.03296703296703165,0.010225484516986637,-0.008866251650631929,0.012823886976450715,-0.008866251650631929,-0.008866251650631929,0.12989247311827956,0.012823886976450715,0.0,1.0,0.0,0.0,0.0,0.0,0.9364645912980156,14.253620459024267,1549774.22
20260421,300693.SZ,0.0,0.0,0.4400000000000013,0.012503200511500534,-0.017775229357798183,-0.0056997123542284365,-0.017775229357798183,-0.017775229357798183,0.163196016296967,-0.0056997123542284365,0.0,1.0,0.0,0.0,0.0,0.0,0.8765005456529648,13.625057966521759,826583.944
20260422,300693.SZ,0.0,0.0,0.440298507462685,0.008864386495328036,0.0,-0.0003174970656168785,0.0,0.0,0.1498871331828442,-0.0003174970656168785,0.0,1.0,0.0,0.0,0.0,0.0,0.8551937420411133,13.523431255853124,746708.318
20260423,300693.SZ,0.0,0.0,0.26470588235294085,-0.0010969704739597131,-0.04873294346978563,-0.013700449395937665,-0.04873294346978563,-0.04873294346978563,0.07441655658300306,-0.013700449395937665,0.0,1.0,0.0,0.0,0.0,0.0,0.8893338187113214,13.851826039631852,1036981.944
20260424,300693.SZ,0.0,0.0,0.4848484848484852,-9.604782617514963e-05,0.0016410256410255286,-0.014746679767438042,0.0016410256410255286,0.0016410256410255286,0.10250620907654096,-0.014746679767438042,0.0,1.0,0.0,0.0,0.0,0.0,0.8975618631732168,13.849308808604587,1034374.901
