split,mode,k,signal_date,execution_date,ts_code,close_weight,pred_score
test,full_topk,30,20250616,20250617,300142.SZ,0.0355500042630682,0.0003820545971393585
test,full_topk,30,20250616,20250617,300146.SZ,0.03323941170559726,0.0005265139043331146
test,full_topk,30,20250616,20250617,300207.SZ,0.03363841278246578,0.00027266889810562134
test,full_topk,30,20250616,20250617,300212.SZ,0.033137045600563596,0.00024406425654888153
test,full_topk,30,20250616,20250617,300253.SZ,0.03300455492869802,0.00022297678515315056
test,full_topk,30,20250616,20250617,300339.SZ,0.03314032710250175,0.00046169012784957886
test,full_topk,30,20250616,20250617,300346.SZ,0.033077295565041874,0.00025163404643535614
test,full_topk,30,20250616,20250617,300373.SZ,0.03288742646443964,0.00037859193980693817
test,full_topk,30,20250616,20250617,300395.SZ,0.03350926013247767,0.000337391160428524
test,full_topk,30,20250616,20250617,300408.SZ,0.032645005855701785,0.0001606266014277935
test,full_topk,30,20250616,20250617,300450.SZ,0.03360844526530103,0.00022197142243385315
test,full_topk,30,20250616,20250617,300496.SZ,0.03340131061564922,0.0002908855676651001
test,full_topk,30,20250616,20250617,300498.SZ,0.03330888642792168,0.000205344520509243
test,full_topk,30,20250616,20250617,300529.SZ,0.03339125045305944,0.00023831240832805634
test,full_topk,30,20250616,20250617,300601.SZ,0.0346152843233927,0.00022746901959180832
test,full_topk,30,20250616,20250617,300604.SZ,0.03349850161321094,0.0003978190943598747
test,full_topk,30,20250616,20250617,300628.SZ,0.03347265687605673,0.00018869014456868172
test,full_topk,30,20250616,20250617,300661.SZ,0.03311410868198911,0.0005264393985271454
test,full_topk,30,20250616,20250617,300666.SZ,0.033212083979228715,0.0005751657299697399
test,full_topk,30,20250616,20250617,300677.SZ,0.03418158368881435,0.00019397679716348648
test,full_topk,30,20250616,20250617,300735.SZ,0.03328731904275301,0.00028529390692710876
test,full_topk,30,20250616,20250617,300748.SZ,0.03285598050250756,0.00025985483080148697
test,full_topk,30,20250616,20250617,300763.SZ,0.03288863718568191,0.00025990232825279236
test,full_topk,30,20250616,20250617,301236.SZ,0.03273911935309253,0.00024801958352327347
test,full_topk,30,20250617,20250618,300014.SZ,0.033230150226687405,0.0004376256838440895
test,full_topk,30,20250617,20250618,300015.SZ,0.033124836818580985,0.00021243374794721603
test,full_topk,30,20250617,20250618,300054.SZ,0.03370973865295923,0.0003686402924358845
test,full_topk,30,20250617,20250618,300122.SZ,0.032599427410164944,0.000178393442183733
test,full_topk,30,20250617,20250618,300124.SZ,0.033476021350534214,0.0004755426198244095
test,full_topk,30,20250617,20250618,300142.SZ,0.032714337411947805,0.0003875773400068283
test,full_topk,30,20250617,20250618,300144.SZ,0.03273956017863562,0.00017292099073529243
