run,engine,split,setting,net_ann,net_ir,net_mdd,excess_benchmark_ann,excess_exec_universe_ann,avg_filled_turnover,avg_position_count
clean_alpha_only,barra_lite_optimizer,test,none_k10_style0.2_turn0,1.4327701518288063,0.3344921143850363,-0.235637990930237,0.5425915701933062,0.6556720019334483,0.0886286914833548,27.60606060606061
clean_alpha_only,barra_lite_optimizer,test,none_k10_style0.2_turn0.02,1.406985471954719,0.3310866063666024,-0.235637990930237,0.5253132984583944,0.6375112584270952,0.0880267847466649,27.63636363636364
clean_alpha_only,barra_lite_optimizer,test,none_k20_style0_turn0,0.8193113684035016,0.3030470222971465,-0.2261781834413279,0.1507491035456369,0.2336962431724061,0.1520808506374062,53.121212121212125
clean_alpha_only,barra_lite_optimizer,test,none_k20_style0_turn0.02,0.8128280855472474,0.3007600948123629,-0.2251656111284937,0.1467543608288894,0.2294942613122914,0.1494503662070383,52.84848484848485
clean_alpha_only,barra_lite_optimizer,test,none_k20_style0.05_turn0,0.8193113684035016,0.3030470222971465,-0.2261781834413279,0.1507491035456369,0.2336962431724061,0.1520808506374062,53.121212121212125
clean_alpha_only,barra_lite_optimizer,test,none_k20_style0.05_turn0.02,0.8128280855472474,0.3007600948123629,-0.2251656111284937,0.1467543608288894,0.2294942613122914,0.1494503662070383,52.84848484848485
clean_alpha_only,barra_lite_optimizer,test,none_k20_style0.1_turn0,0.8193113684035016,0.3030470222971465,-0.2261781834413279,0.1507491035456369,0.2336962431724061,0.1520808506374062,53.121212121212125
clean_alpha_only,barra_lite_optimizer,test,none_k20_style0.1_turn0.02,0.8128280855472474,0.3007600948123629,-0.2251656111284937,0.1467543608288894,0.2294942613122914,0.1494503662070383,52.84848484848485
clean_alpha_only,barra_lite_optimizer,test,none_k20_style0.2_turn0,0.8193113684035016,0.3030470222971465,-0.2261781834413279,0.1507491035456369,0.2336962431724061,0.1520808506374062,53.121212121212125
clean_alpha_only,barra_lite_optimizer,test,none_k20_style0.2_turn0.02,0.8128280855472474,0.3007600948123629,-0.2251656111284937,0.1467543608288894,0.2294942613122914,0.1494503662070383,52.84848484848485
clean_alpha_only,barra_lite_optimizer,test,none_k30_style0_turn0,0.3948796955783071,0.1960326941285551,-0.2087024289047351,-0.1242841035529971,-0.0619925214268394,0.1747817213339247,68.07575757575758
clean_alpha_only,barra_lite_optimizer,test,none_k30_style0_turn0.02,0.3969451475768291,0.1970977658828646,-0.2087024289047351,-0.1229815342907381,-0.0606629106755041,0.1742757663873966,68.04545454545455
clean_alpha_only,barra_lite_optimizer,test,none_k30_style0.05_turn0,0.3948796955783071,0.1960326941285551,-0.2087024289047351,-0.1242841035529971,-0.0619925214268394,0.1747817213339247,68.07575757575758
clean_alpha_only,barra_lite_optimizer,test,none_k30_style0.05_turn0.02,0.3969451475768291,0.1970977658828646,-0.2087024289047351,-0.1229815342907381,-0.0606629106755041,0.1742757663873966,68.04545454545455
clean_alpha_only,barra_lite_optimizer,test,none_k30_style0.1_turn0,0.3948796955783071,0.1960326941285551,-0.2087024289047351,-0.1242841035529971,-0.0619925214268394,0.1747817213339247,68.07575757575758
clean_alpha_only,barra_lite_optimizer,test,none_k30_style0.1_turn0.02,0.3969451475768291,0.1970977658828646,-0.2087024289047351,-0.1229815342907381,-0.0606629106755041,0.1742757663873966,68.04545454545455
clean_alpha_only,barra_lite_optimizer,test,none_k30_style0.2_turn0,0.3948796955783071,0.1960326941285551,-0.2087024289047351,-0.1242841035529971,-0.0619925214268394,0.1747817213339247,68.07575757575758
clean_alpha_only,barra_lite_optimizer,test,none_k30_style0.2_turn0.02,0.3969451475768291,0.1970977658828646,-0.2087024289047351,-0.1229815342907381,-0.0606629106755041,0.1742757663873966,68.04545454545455
clean_alpha_only,barra_lite_optimizer,validation,industry_proxy_k10_style0_turn0,-0.1251226014165808,-0.0276118334563701,-0.4711686263848123,-0.1194948324836626,-0.0527473860932304,0.041343590988906,26.65979381443299
clean_alpha_only,barra_lite_optimizer,validation,industry_proxy_k10_style0_turn0.02,-0.1250244285394531,-0.0275781773693933,-0.4709870705869342,-0.1194057297935853,-0.0526520181816799,0.0413150683154475,26.670103092783503
clean_alpha_only,barra_lite_optimizer,validation,industry_proxy_k10_style0.05_turn0,-0.1243110144451681,-0.0272815634140718,-0.4704902693810755,-0.1187032000058783,-0.0519022993240272,0.0412503549093087,26.68041237113402
clean_alpha_only,barra_lite_optimizer,validation,industry_proxy_k10_style0.05_turn0.02,-0.1248076293342547,-0.0275053528333777,-0.470643304158362,-0.1192044894624417,-0.0524407413737937,0.0412464676228514,26.762886597938145
clean_alpha_only,barra_lite_optimizer,validation,industry_proxy_k10_style0.1_turn0,-0.1263698778253709,-0.0281348439953944,-0.4732017030728886,-0.1206948931298567,-0.0540334837815903,0.0409658107522432,26.77319587628866
clean_alpha_only,barra_lite_optimizer,validation,industry_proxy_k10_style0.1_turn0.02,-0.1266685817674034,-0.0283186488002295,-0.4730550396577971,-0.1210641852687823,-0.0544234630040348,0.0409257753066688,26.762886597938145
clean_alpha_only,barra_lite_optimizer,validation,industry_proxy_k10_style0.2_turn0,-0.0047402024335446,0.0280644634797904,-0.5136529920047261,0.0082908298822246,0.089663621692787,0.0397459216160776,25.7319587628866
clean_alpha_only,barra_lite_optimizer,validation,industry_proxy_k10_style0.2_turn0.02,-0.0054711127554185,0.0278083242697226,-0.5141274642591576,0.0075646788504031,0.0888750363125971,0.0397492301173938,25.68041237113402
clean_alpha_only,barra_lite_optimizer,validation,industry_proxy_k20_style0_turn0,-0.0382901609047742,0.0086641291231484,-0.4280622378791858,-0.033057531750834,0.0404156011449883,0.0677223453204817,50.43298969072165
clean_alpha_only,barra_lite_optimizer,validation,industry_proxy_k20_style0_turn0.02,-0.0375777978073024,0.0089264921903507,-0.4277620717548855,-0.0323718587280792,0.0411458712611638,0.0673072804305114,50.29896907216495
clean_alpha_only,barra_lite_optimizer,validation,industry_proxy_k20_style0.05_turn0,-0.0372640544804553,0.009138497452376,-0.4274495077468958,-0.0318157484931125,0.0417020690177121,0.0681799659584202,50.34020618556701
clean_alpha_only,barra_lite_optimizer,validation,industry_proxy_k20_style0.05_turn0.02,-0.037249940234934,0.0090813538978837,-0.4261398922345566,-0.0319334122492936,0.0415951771634077,0.0673658765042207,50.2680412371134
clean_alpha_only,barra_lite_optimizer,validation,industry_proxy_k20_style0.1_turn0,-0.0377046986443189,0.0089417693443279,-0.4264435791317374,-0.0322132582810782,0.0412636841912283,0.0680196252167434,49.865979381443296
clean_alpha_only,barra_lite_optimizer,validation,industry_proxy_k20_style0.1_turn0.02,-0.0372501956288616,0.0091134213311032,-0.4266258019969396,-0.0317754683552965,0.0417445866877923,0.0675929746588045,49.74226804123711
clean_alpha_only,barra_lite_optimizer,validation,industry_proxy_k20_style0.2_turn0,-0.0257971074693721,0.0138908440989771,-0.4188319303821429,-0.0195581667810443,0.0547369308538339,0.0681848426942603,49.329896907216494
clean_alpha_only,barra_lite_optimizer,validation,industry_proxy_k20_style0.2_turn0.02,-0.0255982435245287,0.0139306313798156,-0.4190822630092542,-0.0194407899065642,0.0548950135686667,0.067841746277405,49.07216494845361
clean_alpha_only,barra_lite_optimizer,validation,industry_proxy_k30_style0_turn0,-0.046280369035312,0.0023128028975952,-0.4123138875161776,-0.0455168212866535,0.0266991778794456,0.089006083171653,72.56701030927834
clean_alpha_only,barra_lite_optimizer,validation,industry_proxy_k30_style0_turn0.02,-0.0453633604961221,0.002736041594084,-0.411661532873591,-0.0445123571798669,0.0277696212136882,0.0885905456967802,72.41237113402062
clean_alpha_only,barra_lite_optimizer,validation,industry_proxy_k30_style0.05_turn0,-0.0606785385378895,-0.0036440574023621,-0.4120655705837091,-0.0588310165104001,0.0123893513956636,0.0889641586944742,72.69072164948453
clean_alpha_only,barra_lite_optimizer,validation,industry_proxy_k30_style0.05_turn0.02,-0.0605419612847961,-0.0036143057135321,-0.4125745530142799,-0.0586963910382067,0.0125041527319968,0.0880728877934547,72.35051546391753
clean_alpha_only,barra_lite_optimizer,validation,industry_proxy_k30_style0.1_turn0,-0.0686227706881082,-0.0069924789512755,-0.4150409317118257,-0.0664630821938991,0.0042011954912453,0.0880767455756366,71.23711340206185
clean_alpha_only,barra_lite_optimizer,validation,industry_proxy_k30_style0.1_turn0.02,-0.0710708907636623,-0.0079329862891187,-0.4156693379985665,-0.0686719558315667,0.0018574616976243,0.0874582754583085,70.95876288659794
clean_alpha_only,barra_lite_optimizer,validation,industry_proxy_k30_style0.2_turn0,-0.0768889101141776,-0.0103470762710456,-0.4180649629346348,-0.0741863706298058,-0.0040472258467894,0.0878634055967143,69.72164948453609
clean_alpha_only,barra_lite_optimizer,validation,industry_proxy_k30_style0.2_turn0.02,-0.0799440791744913,-0.0118005502660805,-0.4193372971249832,-0.0773993480314308,-0.0074992160831407,0.0867615406081464,69.90721649484536
clean_alpha_only,barra_lite_optimizer,validation,industry_size_k10_style0_turn0,-0.1251226014165808,-0.0276118334563701,-0.4711686263848123,-0.1194948324836626,-0.0527473860932304,0.041343590988906,26.65979381443299
clean_alpha_only,barra_lite_optimizer,validation,industry_size_k10_style0_turn0.02,-0.1250244285394531,-0.0275781773693933,-0.4709870705869342,-0.1194057297935853,-0.0526520181816799,0.0413150683154475,26.670103092783503
clean_alpha_only,barra_lite_optimizer,validation,industry_size_k10_style0.05_turn0,-0.0029748341880108,0.0286117453330406,-0.5123863644273706,0.010055842426867,0.0915489550550363,0.0404052875218771,25.53608247422681
