split,trade_date,risk_control,k,style_penalty,turnover_penalty,gross_return,net_return,benchmark_return,executable_universe_return,excess_vs_benchmark,excess_vs_executable_universe,transaction_cost,portfolio_nav,participation_cap,turnover_cap,exposure_cap,exposure_slack_penalty,buy_capacity_slack_penalty,cash_penalty,min_invested_shortfall_penalty,single_name_cap,min_invested,optimizer_status,solver_message,fallback_used,invested_weight,cash_weight,desired_turnover,filled_turnover,filled_desired_ratio,buy_turnover,sell_turnover,position_count,max_abs_exposure_z,avg_abs_exposure_z,max_exposure_slack,avg_exposure_slack,total_exposure_slack,buy_capacity_slack,min_invested_shortfall,min_invested_rule_ok,objective_value
validation,20240814,industry_size_liquidity_vol_mom,20,0.1,0.02,-0.02153609082664641,-0.02162354611349797,-0.01629485813543652,-0.016812871011828077,-0.00532868797806145,-0.004810675101669892,8.745528685155885e-05,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.8000000000112504,0.19999999998874962,0.05829848660881256,0.0583035245677059,1.000086416632513,0.02915176417883342,0.029151760388872478,87,0.7620121413632086,0.3536257796166237,0.4120121414800452,0.07221955153629678,1.1555128245807484,0.0,0.0,1.0,-30.259908826742656
validation,20240814,industry_size_liquidity_vol_mom,20,0.2,0.0,-0.022274291398840514,-0.02241878223833928,-0.01629485813543652,-0.016812871011828077,-0.006123924102902762,-0.005605911226511204,0.0001444908394987674,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.800000000028688,0.19999999997131201,0.0556702328828189,0.09632722633251159,1.7303183648480902,0.048163613079230706,0.04816361325328089,88,0.7515251168216313,0.326627306374778,0.4015251170552222,0.06479026817464567,1.0366442907943307,0.0,0.0,1.0,-27.770672754241737
validation,20240814,industry_size_liquidity_vol_mom,20,0.2,0.02,-0.023012096346962125,-0.02309676017068348,-0.01629485813543652,-0.016812871011828077,-0.00680190203524696,-0.006283889158855402,8.466382372135447e-05,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.8000000000059158,0.19999999999408424,0.05644162723146226,0.056442549147569646,1.000016333974632,0.028221274821058327,0.028221274326511323,87,0.6964574215997342,0.29138274935897884,0.3464574216174161,0.0570426642476196,0.9126826279619136,0.0,0.0,1.0,-24.583503609870746
validation,20240821,industry_size_liquidity_vol_mom,20,0.0,0.0,-0.02631048091614298,-0.02646693217572825,-0.017363617954463728,-0.018621415265474114,-0.009103314221264522,-0.007845516910254136,0.00015645125958526742,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.800000000001402,0.19999999999859797,0.07029873749470464,0.10430083972351162,1.4836801262806212,0.05215041987012104,0.05215041985339057,94,0.6023092300065696,0.2542203129839741,0.2523092300094056,0.01630079614527354,0.2608127383243766,0.0,0.0,1.0,-7.401175600356842
validation,20240821,industry_size_liquidity_vol_mom,20,0.0,0.02,-0.026455539832343593,-0.026556017979706407,-0.017363617954463728,-0.018621415265474114,-0.00919240002524268,-0.007934602714232294,0.00010047814736281517,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.8000000006933078,0.1999999993066922,0.06698299378735631,0.06698543157521011,1.0000363941310468,0.03349271617615744,0.03349271539905268,91,0.6588204852835664,0.25424700251632615,0.30882048534787254,0.019301280466357422,0.30882048746171875,0.0,0.0,1.0,-8.59109806037976
validation,20240821,industry_size_liquidity_vol_mom,20,0.05,0.0,-0.025038493877096855,-0.025194435657228915,-0.017363617954463728,-0.018621415265474114,-0.007830817702765187,-0.006573020391754801,0.00015594178013205972,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.8000000001442562,0.1999999998557438,0.059010295812202455,0.10396118675470647,1.7617465786912534,0.051980593456877805,0.05198059329782868,87,0.3777418378880849,0.2290095587622606,0.027741837916567057,0.0017338649173785086,0.027741838678056137,0.0,0.0,1.0,-1.7814537383616085
validation,20240821,industry_size_liquidity_vol_mom,20,0.05,0.02,-0.026095448115743262,-0.026182344006436254,-0.017363617954463728,-0.018621415265474114,-0.008818726051972526,-0.00756092874096214,8.689589069299023e-05,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.8000000000867749,0.19999999991322515,0.05793006307238521,0.05793059379532682,1.0000091614424957,0.028965296946559634,0.028965296848767186,89,0.5911329333177274,0.2513307849701204,0.24113293332935762,0.015070808355602911,0.24113293368964658,0.0,0.0,1.0,-7.1495528793914245
validation,20240821,industry_size_liquidity_vol_mom,20,0.1,0.0,-0.02498303953315408,-0.025139141243403267,-0.017363617954463728,-0.018621415265474114,-0.007775523288939538,-0.006517725977929153,0.0001561017102491865,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.8000000014198366,0.19999999858016337,0.06815382779790466,0.10406780683279099,1.5269546875838202,0.05203390414910068,0.0520339026836903,88,0.6422118885846291,0.2615575613009512,0.29221188862487923,0.020621481415831828,0.32994370265330925,0.0,0.0,1.0,-9.548422629363206
validation,20240821,industry_size_liquidity_vol_mom,20,0.1,0.02,-0.025205923793047837,-0.025306257947269924,-0.017363617954463728,-0.018621415265474114,-0.007942639992806196,-0.006684842681795811,0.0001003341542220886,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.8000000001978175,0.19999999980218253,0.06688891058918642,0.06688943614805906,1.0000078571898992,0.033444718950344794,0.03344471719771426,84,0.5314878074209456,0.26154780572058184,0.1814878074311052,0.01751334461711961,0.28021351387391374,0.0,0.0,1.0,-8.278678682524184
validation,20240821,industry_size_liquidity_vol_mom,20,0.2,0.0,-0.02415332189019367,-0.024309424423139003,-0.017363617954463728,-0.018621415265474114,-0.0069458064686752745,-0.005688009157664889,0.00015610253294533031,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.8000000000329933,0.19999999996700668,0.053206713838086374,0.10406835529688688,1.9559252543500023,0.05203417772614418,0.05203417757074269,89,0.5376653533510958,0.25482878601664416,0.18766535336503007,0.011729084607843814,0.18766535372550103,0.0,0.0,1.0,-6.351218762159803
