split,k,keep_multiplier,periods,net_ann,net_ir,net_max_drawdown,excess_benchmark_ann,excess_exec_universe_ann,avg_desired_turnover,avg_filled_turnover,avg_transaction_cost,avg_buy_reject_count,avg_sell_reject_count,avg_partial_fill_count,avg_position_count,portfolio_nav,participation_cap
validation,10,1.5,97,-0.25140527910442734,-0.08388175168467354,-0.5846632645639543,-0.24217078377541035,-0.17961996462299668,1.6793603441459637,0.046814401155620085,7.022160173343011e-05,0.010309278350515464,1.5257731958762886,23.195876288659793,24.8659793814433,10000000.0,0.03
validation,10,3.0,97,-0.24653526687778127,-0.07964392108433327,-0.5810279023603846,-0.23584414402615073,-0.1725151347660282,1.3362196398567068,0.03861922124292644,5.792883186438967e-05,0.010309278350515464,1.309278350515464,20.34020618556701,22.11340206185567,10000000.0,0.03
validation,30,1.0,97,-0.20365294896939945,-0.05956789525585819,-0.556539469354777,-0.19209280954078778,-0.1240525361380459,1.4150918307779596,0.10432854280669662,0.00015649281421004492,0.020618556701030927,9.082474226804123,59.371134020618555,70.34020618556701,10000000.0,0.03
validation,30,1.5,97,-0.19190106081172642,-0.05637192474075496,-0.5462774604124292,-0.1822373498145915,-0.11315789836325985,1.0384317443014899,0.07649228339878573,0.00011473842509817862,0.030927835051546393,5.65979381443299,47.58762886597938,58.02061855670103,10000000.0,0.03
validation,30,3.0,97,-0.16605716614081545,-0.04722642718384123,-0.500939837139031,-0.15784479182554167,-0.08686398061544509,0.2509569440138788,0.02323772364015117,3.4856585460226766e-05,0.020618556701030927,2.618556701030928,12.783505154639176,33.123711340206185,10000000.0,0.03
test,10,1.0,66,0.786283907989821,0.2813742691335612,-0.19580311819999618,0.13398592437258228,0.24978455805047872,1.7509265629134532,0.21323102115799175,0.00031984653173698765,0.015151515151515152,1.8484848484848484,22.727272727272727,24.939393939393938,10000000.0,0.05
test,10,1.5,66,0.7595705583363468,0.27760231531461366,-0.1995682989362988,0.11635569816262703,0.23055663390988412,1.643866927016675,0.2031869671879955,0.00030478045078199327,0.015151515151515152,1.5,22.46969696969697,24.53030303030303,10000000.0,0.05
test,10,3.0,66,0.5482164023892735,0.2380093606557805,-0.1999403872569866,-0.021761478823864366,0.07961961705372156,1.3180835388235714,0.1527604339100538,0.0002291406508650807,0.015151515151515152,1.5,19.196969696969695,21.515151515151516,10000000.0,0.05
test,30,1.0,66,0.5913043055265201,0.28067331667865664,-0.18267452331539313,0.0046393891572573676,0.11081952447295174,1.2784737894250287,0.29909413077981617,0.00044864119616972424,0.030303030303030304,7.848484848484849,48.84848484848485,62.121212121212125,10000000.0,0.05
test,30,1.5,66,0.41967065399163594,0.2246685679803054,-0.1760779936202127,-0.10874096326605864,-0.012193537901906581,0.9375240303270638,0.1962001442570025,0.0002943002163855037,0.015151515151515152,7.045454545454546,38.84848484848485,53.84848484848485,10000000.0,0.05
test,30,3.0,66,0.6851610177290206,0.32058006883231405,-0.19089367348216946,0.06173697088238139,0.1742027776408872,0.234484888245646,0.05112000053305307,7.668000079957962e-05,0.0,4.409090909090909,9.136363636363637,34.59090909090909,10000000.0,0.05
validation,10,1.0,97,-0.25261648058656294,-0.08555250734185958,-0.5777281405432233,-0.2441426030552989,-0.1818213570004934,1.7763404319054261,0.07681933965463605,0.00011522900948195406,0.0,2.8556701030927836,23.20618556701031,26.22680412371134,10000000.0,0.05
validation,10,1.5,97,-0.25311811438092335,-0.0849314631391284,-0.5792413343534526,-0.24398878080268238,-0.18159527286560873,1.6733277577555539,0.0750257819291464,0.00011253867289371963,0.010309278350515464,1.5257731958762886,22.88659793814433,24.61855670103093,10000000.0,0.05
validation,10,3.0,97,-0.2489554935535364,-0.08009324620064343,-0.5820674570214874,-0.23801091940565067,-0.17470323546565925,1.3177479378905228,0.06154203575661399,9.231305363492099e-05,0.010309278350515464,1.309278350515464,20.02061855670103,21.95876288659794,10000000.0,0.05
validation,30,1.0,97,-0.190161255357148,-0.056770159027041814,-0.5438867178374323,-0.1802023068706854,-0.11115766320066167,1.374837523005862,0.15869308231510817,0.0002380396234726623,0.020618556701030927,9.082474226804123,57.01030927835052,68.76288659793815,10000000.0,0.05
validation,30,1.5,97,-0.1669251123018337,-0.04671839229806647,-0.5331040225371263,-0.15810202177622468,-0.08682618009234255,1.0044935778082231,0.11731948413179027,0.0001759792261976854,0.030927835051546393,5.721649484536083,45.5360824742268,56.649484536082475,10000000.0,0.05
validation,30,3.0,97,-0.14690352631934345,-0.040540982710733274,-0.4757760805442913,-0.1401673942261431,-0.06793564232895,0.18720637155894074,0.031480678430140366,4.7221017645210536e-05,0.0,2.618556701030928,10.123711340206185,33.123711340206185,10000000.0,0.05
test,10,1.0,66,0.9245715288216994,0.2896080384963005,-0.18705287107562496,0.22408110909101842,0.34789583517803724,1.7690847383522734,0.33330374100291144,0.0004999556115043673,0.015151515151515152,1.8484848484848484,20.196969696969695,22.863636363636363,10000000.0,0.1
test,10,1.5,66,0.7790864295199782,0.27512583299432414,-0.19141943433405828,0.12680963478136364,0.24205257112485756,1.6532381219572796,0.3129119864876692,0.00046936797973150387,0.015151515151515152,2.212121212121212,20.424242424242426,23.666666666666668,10000000.0,0.1
test,10,3.0,66,0.45518782404841573,0.22716896201449663,-0.19639111660992414,-0.08857187661848087,0.009424997788961775,1.2415072350554615,0.22264252065956566,0.0003339637809893484,0.015151515151515152,1.5,17.560606060606062,20.393939393939394,10000000.0,0.1
test,30,1.0,66,0.6394466153695393,0.3017685949655182,-0.1776515918145386,0.033899499270722,0.14364865508496472,1.2088806768168696,0.44048782264910874,0.0006607317339736632,0.030303030303030304,5.984848484848484,41.81818181818182,56.34848484848485,10000000.0,0.1
test,30,1.5,66,0.47424894706543497,0.24944005038034878,-0.16372465713031037,-0.07450795185852288,0.025113195617119777,0.9004759361602446,0.293273448879696,0.00043991017331954384,0.015151515151515152,6.484848484848484,33.31818181818182,50.68181818181818,10000000.0,0.1
test,30,3.0,66,0.67895597794229,0.3229533624465348,-0.18543400236320107,0.056554809105146875,0.16879513694618797,0.1846014445266346,0.0620995650908988,9.31493476363482e-05,0.0,4.409090909090909,5.5,34.59090909090909,10000000.0,0.1
validation,10,1.0,97,-0.26450216938365734,-0.09214054437952046,-0.5700009857822103,-0.25696319242609833,-0.19554229120365962,1.7949438857404911,0.14311633753516392,0.00021467450630274586,0.0,2.8556701030927836,22.422680412371133,25.443298969072163,10000000.0,0.1
validation,10,1.5,97,-0.25966733978822487,-0.08610619606264246,-0.5765053326610441,-0.24949190712079927,-0.18727490633004185,1.672073240590453,0.13879309540529625,0.00020818964310794438,0.010309278350515464,2.3608247422680413,22.350515463917525,25.0,10000000.0,0.1
validation,10,3.0,97,-0.2649091784914138,-0.08454277051872056,-0.5974681633085367,-0.25197773368115584,-0.18948352512190803,1.2856294046707895,0.11004922755067473,0.0001650738413260121,0.010309278350515464,1.309278350515464,19.989690721649485,22.010309278350515,10000000.0,0.1
validation,30,1.0,97,-0.14526517627380098,-0.03814071096436052,-0.4992693257839719,-0.13635396195336202,-0.06389977294004567,1.3465411167877017,0.2686839393557003,0.0004030259090335504,0.020618556701030927,8.278350515463918,52.45360824742268,65.1340206185567,10000000.0,0.1
validation,30,1.5,97,-0.1542485432983941,-0.0431792327328326,-0.5191409660961331,-0.14661205769545216,-0.07458923583718058,0.9779437893420444,0.19256651396717603,0.00028884977095076404,0.041237113402061855,7.164948453608248,42.03092783505155,56.30927835051546,10000000.0,0.1
validation,30,3.0,97,-0.16606078506584665,-0.05090929938748144,-0.4861814608463283,-0.16111945466286193,-0.08992058235964395,0.1414393611385519,0.042972266367419125,6.445839955112869e-05,0.0,3.5051546391752577,6.020618556701031,34.02061855670103,10000000.0,0.1
test,10,1.0,66,0.593160009208703,0.22284713053482447,-0.1994565935073661,0.010596064702360186,0.11247537741425884,1.8099254452185565,0.01055015962010046,1.5825239430150692e-05,0.015151515151515152,1.8484848484848484,23.166666666666668,25.015151515151516,50000000.0,0.01
test,10,1.5,66,0.6149504559041985,0.22919791163911735,-0.199685562148457,0.025380619842232166,0.1282664832066407,1.7387393438385002,0.010938060889887824,1.6407091334831737e-05,0.015151515151515152,1.5,23.181818181818183,24.681818181818183,50000000.0,0.01
test,10,3.0,66,0.6287030507487557,0.23414926494951502,-0.19971486173422515,0.03448928060583567,0.13800569243074068,1.5132543963618585,0.009024977898917406,1.3537466848376112e-05,0.015151515151515152,1.5,20.196969696969695,21.696969696969695,50000000.0,0.01
test,30,1.0,66,0.3329691414386302,0.15673142099970672,-0.1950134172228849,-0.15338917122277662,-0.06651092823673077,1.620657718679852,0.022059023554261405,3.30885353313921e-05,0.030303030303030304,7.5,59.5,67.46969696969697,50000000.0,0.01
test,30,1.5,66,0.35265372988418675,0.16496550160512097,-0.194899234070395,-0.14058578979937775,-0.05239529710080082,1.427778148004074,0.01876213001474964,2.814319502212446e-05,0.015151515151515152,5.53030303030303,49.333333333333336,55.5,50000000.0,0.01
test,30,3.0,66,0.42385778711921596,0.1928538481959066,-0.1954519622817229,-0.09602377105195348,-0.002629961730519992,0.9309534549533753,0.008686681322718536,1.3030021984077807e-05,0.030303030303030304,4.454545454545454,26.257575757575758,34.68181818181818,50000000.0,0.01
validation,10,1.0,97,-0.2583389084902782,-0.08451258064827963,-0.6013111824518376,-0.2472548698918613,-0.18462683599631213,1.781180166076315,0.003471825911867248,5.20773886780087e-06,0.0,2.9072164948453607,24.298969072164947,27.20618556701031,50000000.0,0.01
