split,trade_date,risk_control,k,style_penalty,turnover_penalty,gross_return,net_return,benchmark_return,executable_universe_return,excess_vs_benchmark,excess_vs_executable_universe,transaction_cost,desired_turnover,filled_turnover,buy_reject_count,sell_reject_count,partial_fill_count,position_count,avg_abs_control_exposure_z,avg_abs_full_style_exposure_z
validation,20240226,industry_size,20,0.0,0.02,0.05761383800362145,0.05752480868300919,0.052390951482371495,0.052670797866641555,0.005133857200637693,0.004854010816367632,8.902932061226539e-05,1.5772218382424452,0.059352880408176927,0,9,44,54,0.19985204163673087,0.2452970938359598
validation,20240226,industry_size,20,0.1,0.0,0.05164845807959473,0.05155182570607292,0.052390951482371495,0.052670797866641555,-0.0008391257762985771,-0.0011189721605686376,9.663237352180686e-05,1.498085738144865,0.06442158234787124,0,6,42,49,0.18876427154266948,0.23921163176333576
validation,20240226,industry_size,20,0.1,0.02,0.0522761519216704,0.05217858952339233,0.052390951482371495,0.052670797866641555,-0.0002123619589791681,-0.0004922083432492286,9.756239827806936e-05,1.4855607723008508,0.06504159885204625,0,6,42,50,0.17592886026143248,0.23029609293091113
validation,20240304,none,20,0.0,0.0,0.008544507500666737,0.008454852389353671,0.039489506869178514,0.021010491062595532,-0.03103465447982484,-0.01255563867324186,8.965511131306556e-05,1.5206493099648448,0.059770074208710375,0,8,44,52,0.0,0.24487230582893008
validation,20240304,none,20,0.0,0.02,0.008961892642762651,0.008872556305707992,0.039489506869178514,0.021010491062595532,-0.030616950563470524,-0.01213793475688754,8.933633705465867e-05,1.5204325973220243,0.059557558036439105,0,8,44,53,0.0,0.2391340540567717
validation,20240304,none,20,0.1,0.0,0.008544507500666737,0.008454852389353671,0.039489506869178514,0.021010491062595532,-0.03103465447982484,-0.01255563867324186,8.965511131306556e-05,1.5206493099648448,0.059770074208710375,0,8,44,52,0.0,0.24487230582893008
validation,20240304,none,20,0.1,0.02,0.008961892642762651,0.008872556305707992,0.039489506869178514,0.021010491062595532,-0.030616950563470524,-0.01213793475688754,8.933633705465867e-05,1.5204325973220243,0.059557558036439105,0,8,44,53,0.0,0.2391340540567717
validation,20240304,industry_size,20,0.0,0.0,0.008544507500666737,0.008454852389353671,0.039489506869178514,0.021010491062595532,-0.03103465447982484,-0.01255563867324186,8.965511131306556e-05,1.5206493099648448,0.059770074208710375,0,8,44,52,0.21962453529761658,0.24487230582893008
validation,20240304,industry_size,20,0.0,0.02,0.008961892642762651,0.008872556305707992,0.039489506869178514,0.021010491062595532,-0.030616950563470524,-0.01213793475688754,8.933633705465867e-05,1.5204325973220243,0.059557558036439105,0,8,44,53,0.2154483667313483,0.2391340540567717
validation,20240304,industry_size,20,0.1,0.0,0.007889497708720071,0.0078099948456861875,0.039489506869178514,0.021010491062595532,-0.031679512023492326,-0.013200496216909344,7.950286303388329e-05,1.257242600551481,0.05300190868925552,0,5,42,48,0.19982740580859767,0.24634601891724484
validation,20240304,industry_size,20,0.1,0.02,0.009386059231414461,0.009306395579116751,0.039489506869178514,0.021010491062595532,-0.030183111290061765,-0.01170409548347878,7.966365229770985e-05,1.2654935282378847,0.05310910153180656,0,5,42,49,0.1887241079002823,0.2404544352824044
validation,20240311,none,20,0.0,0.0,0.0001770110845123032,7.417887252538455e-05,0.015790017913984933,0.01749951786427324,-0.01571583904145955,-0.017425338991747856,0.00010283221198691864,1.526770507677962,0.0685548079912791,0,7,44,52,0.0,0.2259563202776675
validation,20240311,none,20,0.0,0.02,0.00042702654049032253,0.0003242771550636378,0.015790017913984933,0.01749951786427324,-0.015465740758921294,-0.017175240709209602,0.00010274938542668475,1.514658346766197,0.0684995902844565,0,7,45,53,0.0,0.21900379576436602
validation,20240311,none,20,0.1,0.0,0.0001770110845123032,7.417887252538455e-05,0.015790017913984933,0.01749951786427324,-0.01571583904145955,-0.017425338991747856,0.00010283221198691864,1.526770507677962,0.0685548079912791,0,7,44,52,0.0,0.2259563202776675
validation,20240311,none,20,0.1,0.02,0.00042702654049032253,0.0003242771550636378,0.015790017913984933,0.01749951786427324,-0.015465740758921294,-0.017175240709209602,0.00010274938542668475,1.514658346766197,0.0684995902844565,0,7,45,53,0.0,0.21900379576436602
validation,20240311,industry_size,20,0.0,0.0,0.0001770110845123032,7.417887252538455e-05,0.015790017913984933,0.01749951786427324,-0.01571583904145955,-0.017425338991747856,0.00010283221198691864,1.526770507677962,0.0685548079912791,0,7,44,52,0.18045670807215664,0.2259563202776675
validation,20240311,industry_size,20,0.0,0.02,0.00042702654049032253,0.0003242771550636378,0.015790017913984933,0.01749951786427324,-0.015465740758921294,-0.017175240709209602,0.00010274938542668475,1.514658346766197,0.0684995902844565,0,7,45,53,0.1759108724361875,0.21900379576436602
validation,20240311,industry_size,20,0.1,0.0,0.0019722505383787696,0.0018697898276403531,0.015790017913984933,0.01749951786427324,-0.01392022808634458,-0.015629728036632887,0.0001024607107384165,1.5264587034302166,0.06830714049227767,0,4,45,51,0.15131753370038062,0.2248719059112213
validation,20240311,industry_size,20,0.1,0.02,0.001928817932655919,0.00182699798185895,0.015790017913984933,0.01749951786427324,-0.013963019932125982,-0.01567251988241429,0.00010181995079696909,1.526098163659999,0.0678799671979794,0,4,44,50,0.14048859474961115,0.21749252839319483
validation,20240318,none,20,0.0,0.0,-0.05310995940028308,-0.05320335856178079,-0.044047341899729364,-0.05488666811179087,-0.009156016662051424,0.00168330955001008,9.339916149770328e-05,1.660650889095848,0.06226610766513552,0,7,48,55,0.0,0.2606807567204741
validation,20240318,none,20,0.0,0.02,-0.053004836278248736,-0.05310136832950079,-0.044047341899729364,-0.05488666811179087,-0.009054026429771427,0.001785299782290077,9.653205125205394e-05,1.5631078882000022,0.06435470083470263,0,7,47,54,0.0,0.25752572791566125
validation,20240318,none,20,0.1,0.0,-0.05310995940028308,-0.05320335856178079,-0.044047341899729364,-0.05488666811179087,-0.009156016662051424,0.00168330955001008,9.339916149770328e-05,1.660650889095848,0.06226610766513552,0,7,48,55,0.0,0.2606807567204741
validation,20240318,none,20,0.1,0.02,-0.053004836278248736,-0.05310136832950079,-0.044047341899729364,-0.05488666811179087,-0.009054026429771427,0.001785299782290077,9.653205125205394e-05,1.5631078882000022,0.06435470083470263,0,7,47,54,0.0,0.25752572791566125
validation,20240318,industry_size,20,0.0,0.0,-0.05310995940028308,-0.05320335856178079,-0.044047341899729364,-0.05488666811179087,-0.009156016662051424,0.00168330955001008,9.339916149770328e-05,1.660650889095848,0.06226610766513552,0,7,48,55,0.20135878403629995,0.2606807567204741
validation,20240318,industry_size,20,0.0,0.02,-0.053004836278248736,-0.05310136832950079,-0.044047341899729364,-0.05488666811179087,-0.009054026429771427,0.001785299782290077,9.653205125205394e-05,1.5631078882000022,0.06435470083470263,0,7,47,54,0.1982708629735628,0.25752572791566125
validation,20240318,industry_size,20,0.1,0.0,-0.05213593465931949,-0.05223126413965939,-0.044047341899729364,-0.05488666811179087,-0.008183922239930023,0.00265540397213148,9.532948033989866e-05,1.4543022278694981,0.06355298689326577,0,4,48,52,0.1700003213071297,0.28594456865323187
validation,20240318,industry_size,20,0.1,0.02,-0.05258401032816573,-0.052679218123587467,-0.044047341899729364,-0.05488666811179087,-0.008631876223858102,0.0022074499882034013,9.520779542173375e-05,1.4437942139699032,0.06347186361448917,0,4,49,53,0.1590979142209204,0.277325280550374
validation,20240325,none,20,0.0,0.0,0.017565459837677506,0.01745583106784986,0.021533018238617974,0.018939302028768874,-0.004077187170768114,-0.0014834709609190151,0.00010962876982764488,1.7759696558350944,0.07308584655176326,0,7,50,57,0.0,0.2624023279510648
validation,20240325,none,20,0.0,0.02,0.017409757187911858,0.017302520653724292,0.021533018238617974,0.018939302028768874,-0.004230497584893682,-0.0016367813750445825,0.00010723653418756686,1.7262409249409252,0.07149102279171124,0,7,47,54,0.0,0.26028386718705343
validation,20240325,none,20,0.1,0.0,0.017565459837677506,0.01745583106784986,0.021533018238617974,0.018939302028768874,-0.004077187170768114,-0.0014834709609190151,0.00010962876982764488,1.7759696558350944,0.07308584655176326,0,7,50,57,0.0,0.2624023279510648
validation,20240325,none,20,0.1,0.02,0.017409757187911858,0.017302520653724292,0.021533018238617974,0.018939302028768874,-0.004230497584893682,-0.0016367813750445825,0.00010723653418756686,1.7262409249409252,0.07149102279171124,0,7,47,54,0.0,0.26028386718705343
