candidate,split,feature,selected_mean,universe_mean,selected_minus_universe,diff_ir
k30_keep1,test,lag1_ret_20d_std,0.024562529753691602,0.027708689195750542,-0.003146159442058945,-1.4646155650786772
k30_keep1,test,lag1_ret_60d_std,0.027750108963149722,0.0288577410780876,-0.0011076321149378805,-0.5366456726107994
k30_keep1,test,lag1_amplitude,0.03459371535869138,0.038329955422102456,-0.0037362400634110837,-0.8538568732550541
k30_keep1,test,lag1_vol_log,11.926848198922839,12.082917748646807,-0.15606954972396855,-0.8823542306260588
k30_keep1,test,lag1_amount_log,13.462667209640378,13.565054067741977,-0.10238685810159905,-0.4309282877696748
k30_keep1,test,lag1_amount_rank_pct,0.48355903599645367,0.5150654727614365,-0.0315064367649829,-0.5379611742051287
k30_keep1,test,lag1_amount_20d_mean,1884315.740986995,1763026.3077168013,121289.43327019375,0.19106380053716265
k30_keep1,test,lag1_amount_60d_mean,1977071.8737100489,1705618.8391804134,271453.03452963574,0.4531847509744663
k30_keep1,test,lag1_turnover_rate,2.537937929292929,3.138565485673942,-0.600627556381012,-1.070150646102343
k30_keep1,test,lag1_turnover_rate_f,3.5532494444444445,4.368046611303902,-0.814797166859458,-1.1455239394518197
k30_keep1,test,lag1_turnover_20d_mean,2.6158832424242426,3.059068161284681,-0.44318491886043887,-1.1019052978400907
k30_keep1,test,lag1_turnover_60d_mean,2.8728225700849506,3.07199277336922,-0.1991702032842696,-0.4932895453020652
k30_keep1,test,lag1_turnover_cost_proxy,0.18116982130305306,0.22140264751074382,-0.04023282620769075,-1.1351674586091727
k30_keep1,test,lag1_illiquidity_proxy,3.2094799085842365e-08,3.222500326433069e-08,-1.3020417848832193e-10,-0.019097700446110956
k30_keep1,validation,lag1_log_circ_mv,14.757239095015967,14.693518657306125,0.06372043770984039,0.3742622559477034
k30_keep1,validation,lag1_log_total_mv,15.06141706815999,14.995892165462283,0.06552490269770608,0.40706672517512565
k30_keep1,validation,lag1_beta_20d,0.9694725350366886,0.992829968382966,-0.02335743334627734,-0.23237293913129786
k30_keep1,validation,lag1_beta_60d,0.9866469019832461,0.993255121735494,-0.006608219752248049,-0.09477088047407607
k30_keep1,validation,lag1_ret_20d,-0.02392886278756293,-0.00016728092567266573,-0.023761581861890264,-1.005821798708229
k30_keep1,validation,lag1_ret_5d_mean,-0.000636430008677164,8.842950424541629e-05,-0.0007248595129225805,-0.3780682583531029
k30_keep1,validation,lag1_ret_20d_mean,-0.0010326429378927828,2.4622823608114315e-05,-0.0010572657615008972,-1.0172270445361198
k30_keep1,validation,lag1_ret_60d_mean,-0.00043791958239696675,2.1519625451670207e-05,-0.000459439207848637,-0.7857837973113153
k30_keep1,validation,lag1_ret_20d_std,0.023964072997411986,0.02650856089597154,-0.002544487898559549,-1.4180829629132514
k30_keep1,validation,lag1_ret_60d_std,0.026522957526399056,0.027658488349581,-0.0011355308231819378,-0.8111195858958686
k30_keep1,validation,lag1_amplitude,0.03370540594829953,0.036529413668681426,-0.0028240077203819003,-0.8028852383898291
k30_keep1,validation,lag1_vol_log,11.272862120157955,11.387129987617298,-0.11426786745934302,-0.5988901327509178
k30_keep1,validation,lag1_amount_log,12.586790912968056,12.663006439241164,-0.0762155262731059,-0.35281434620345614
k30_keep1,validation,lag1_amount_rank_pct,0.47960359333487285,0.5038289352270787,-0.024225341892205866,-0.38314043695792277
k30_keep1,validation,lag1_amount_20d_mean,633112.9913576461,651399.084482762,-18286.093125115916,-0.07268649631571672
k30_keep1,validation,lag1_amount_60d_mean,645725.0281024058,621728.567395688,23996.460706717757,0.13761942952675307
k30_keep1,validation,lag1_turnover_rate,1.563702886597938,1.873543022466953,-0.30984013586901493,-0.8338140246757139
k30_keep1,validation,lag1_turnover_rate_f,2.161646941580756,2.581893398396749,-0.42024645681599315,-0.8740236425852761
k30_keep1,validation,lag1_turnover_20d_mean,1.5936058367697592,1.861804882332999,-0.2681990455632393,-0.9149331717764742
k30_keep1,validation,lag1_turnover_60d_mean,1.6661068508295696,1.8050042803540254,-0.13889742952445613,-0.546798635884615
k30_keep1,validation,lag1_turnover_cost_proxy,0.11944514176114121,0.14121127388496654,-0.02176613212382531,-0.866747615775172
k30_keep1,validation,lag1_illiquidity_proxy,7.317922063478069e-08,7.031807692485839e-08,2.86114370992232e-09,0.1878527564370018
k30_keep3,test,lag1_log_circ_mv,15.284044970441181,15.068688104716664,0.2153568657245184,3.588014497516252
