run,engine,split,setting,net_ann,net_ir,net_mdd,excess_benchmark_ann,excess_exec_universe_ann,avg_filled_turnover,avg_position_count
clean_alpha_resid_style,barra_lite_optimizer,test,industry_size_k20_style0.1_turn0,0.4152563503602373,0.2131284777667453,-0.1544272555005015,-0.113381549789809,-0.0515133320261769,0.1236558724965054,47.0
clean_alpha_resid_style,barra_lite_optimizer,test,industry_size_k20_style0.1_turn0.02,0.3975967745238553,0.2052561240509177,-0.1542115416291681,-0.1243551935094006,-0.0632174781039695,0.1184281030255254,45.92424242424242
clean_alpha_resid_style,barra_lite_optimizer,test,none_k20_style0_turn0,0.4699448533250936,0.2318874957429846,-0.1507550862939964,-0.0786843021342492,-0.01433572267796,0.1360748635393712,47.34848484848485
clean_alpha_resid_style,barra_lite_optimizer,test,none_k20_style0_turn0.02,0.4672001710442353,0.2317830811182211,-0.1507635184076059,-0.0808832446372259,-0.0164797472563393,0.1306239112989266,46.09090909090909
clean_alpha_resid_style,barra_lite_optimizer,test,none_k20_style0.1_turn0,0.4699448533250936,0.2318874957429846,-0.1507550862939964,-0.0786843021342492,-0.01433572267796,0.1360748635393712,47.34848484848485
clean_alpha_resid_style,barra_lite_optimizer,test,none_k20_style0.1_turn0.02,0.4672001710442353,0.2317830811182211,-0.1507635184076059,-0.0808832446372259,-0.0164797472563393,0.1306239112989266,46.09090909090909
clean_alpha_resid_style,barra_lite_optimizer,validation,industry_size_k20_style0_turn0,-0.0390454847761833,0.0048799140007932,-0.3672146054567032,-0.0392561720273748,0.0306271856772528,0.0631497681759296,49.64948453608248
clean_alpha_resid_style,barra_lite_optimizer,validation,industry_size_k20_style0_turn0.02,-0.0397613805696439,0.0045350765026807,-0.3683037654551664,-0.0398978819119077,0.0300296295098749,0.0619177319846363,48.98969072164948
clean_alpha_resid_style,barra_lite_optimizer,validation,industry_size_k20_style0.1_turn0,-0.0584189058271736,-0.004822706537398,-0.3809644121779807,-0.0598395001959751,0.0084827819377242,0.0593197153444106,46.71134020618557
clean_alpha_resid_style,barra_lite_optimizer,validation,industry_size_k20_style0.1_turn0.02,-0.056247515641697,-0.0036945417976125,-0.3761292648196354,-0.0573557240268497,0.0111750681442837,0.0578994976877043,46.144329896907216
clean_alpha_resid_style,barra_lite_optimizer,validation,none_k20_style0_turn0,-0.0390454847761833,0.0048799140007932,-0.3672146054567032,-0.0392561720273748,0.0306271856772528,0.0631497681759296,49.64948453608248
clean_alpha_resid_style,barra_lite_optimizer,validation,none_k20_style0_turn0.02,-0.0397613805696439,0.0045350765026807,-0.3683037654551664,-0.0398978819119077,0.0300296295098749,0.0619177319846363,48.98969072164948
clean_alpha_resid_style,barra_lite_optimizer,validation,none_k20_style0.1_turn0,-0.0390454847761833,0.0048799140007932,-0.3672146054567032,-0.0392561720273748,0.0306271856772528,0.0631497681759296,49.64948453608248
clean_alpha_resid_style,barra_lite_optimizer,validation,none_k20_style0.1_turn0.02,-0.0397613805696439,0.0045350765026807,-0.3683037654551664,-0.0398978819119077,0.0300296295098749,0.0619177319846363,48.98969072164948
