split,risk_control,k,style_penalty,turnover_penalty,periods,net_ann,net_ir,net_max_drawdown,excess_benchmark_ann,excess_exec_universe_ann,avg_desired_turnover,avg_filled_turnover,avg_filled_desired_ratio,avg_position_count,avg_cash_weight,avg_invested_weight,optimal_rate,feasible_rate,solver_error_rate,fallback_rate,avg_max_abs_exposure_z,avg_abs_exposure_z,avg_max_exposure_slack,avg_exposure_slack,avg_total_exposure_slack,avg_buy_capacity_slack,avg_min_invested_shortfall,min_invested_rule_pass_rate
validation,industry_proxy,20,0.2,0.0,94,-0.060588337173974716,-0.007160151104426264,-0.3539406329992987,0.07590369021074239,-0.06581584963735454,0.10787533305019699,0.18837240353282667,1.777793515942097,68.52127659574468,0.02019682151855479,0.9798031784816175,1.0,1.0,0.0,0.0,0.30882401410506016,0.14297776471723614,0.06260670223163455,0.019493721294083454,0.07797488517633382,0.0066413324795889656,0.0,1.0
validation,industry_proxy,20,0.2,0.02,94,-0.057641470624127056,-0.005932618591148694,-0.35002737061789235,0.07905199667606277,-0.06326607289565611,0.10740441085140749,0.1074048110091519,1.00000512199138,68.85106382978724,0.0205685081844931,0.9794314918155687,1.0,1.0,0.0,0.0,0.3068176835667474,0.14426034586572495,0.06273795612656134,0.01966835990579334,0.07867343962317336,0.006641332479519786,0.0,1.0
validation,industry_size,20,0.0,0.0,94,-0.06327820244371629,-0.007012227940547505,-0.3665502406580463,0.07235012800731022,-0.06390234822722185,0.09592449380877997,0.18765895728449097,2.027586602542719,66.97872340425532,0.05895456689217824,0.941045433107826,1.0,1.0,0.0,0.0,0.44068111964918566,0.2627757310944823,0.09158807207955341,0.021458408230629052,0.12875044938377433,0.0066413326283823034,0.0,1.0
validation,industry_size,20,0.0,0.02,94,-0.060665906936241853,-0.0060191748616192,-0.36484590396256544,0.07464997209726665,-0.06163709548881935,0.09451068328639005,0.09451180351541652,1.00001359685368,67.22340425531915,0.062418614190449404,0.9375813858095506,1.0,1.0,0.0,0.0,0.44312640383083735,0.26154879818423293,0.09349488314315235,0.021717852906107216,0.13030711743664328,0.006641332628492245,0.0,1.0
validation,industry_size,20,0.05,0.0,94,-0.08834965490880575,-0.019077841660921867,-0.37735889751170426,0.04376983030690096,-0.08898479349564437,0.09563626768754235,0.18758854472400943,2.0296350612426575,68.5,0.0497757310126279,0.9502242689875741,1.0,1.0,0.0,0.0,0.42474443090545266,0.21238245013307824,0.0927569492381301,0.02118929683793035,0.12713578102758208,0.006641331990114397,0.0,1.0
validation,industry_size,20,0.05,0.02,94,-0.0817398207838339,-0.016018452435012844,-0.37425248746277373,0.05117482630474868,-0.08247808372556376,0.09473934984481196,0.09474008458224031,1.0000096300823598,68.23404255319149,0.04913460369286556,0.9508653963072321,1.0,1.0,0.0,0.0,0.42044902277613494,0.21036627179107734,0.08868752052087311,0.020554287971980906,0.12332572783188547,0.00664133198536972,0.0,1.0
validation,industry_size,20,0.1,0.0,94,-0.07659694449536492,-0.013176693000778282,-0.37643559747412236,0.057499606490119426,-0.07743195952509851,0.09688591182170192,0.18782469311482822,1.9756934463622646,69.27659574468085,0.05746537065002633,0.9425346293499873,1.0,1.0,0.0,0.0,0.36935238381651686,0.15899732243076134,0.06892112650774272,0.015674769295381762,0.09404861577229057,0.006641332358325039,0.0,1.0
validation,industry_size,20,0.1,0.02,94,-0.07120220252844389,-0.010557329404240453,-0.37300671512034,0.06378077341855803,-0.07186163749331731,0.09536266386503554,0.09536365482178237,1.0000117355427192,69.35106382978724,0.05907735488792839,0.9409226451120807,1.0,1.0,0.0,0.0,0.3716220454843862,0.1614873689778938,0.07421578548918564,0.016920630442878802,0.10152378265727283,0.006641332322508282,0.0,1.0
validation,industry_size,20,0.2,0.0,94,-0.07733888656725674,-0.014231932421553184,-0.37488911915968637,0.05560317914963964,-0.07905712110894558,0.10103944459054978,0.18821831188756846,1.8990018509622777,71.77659574468085,0.0728316832650194,0.9271683167349812,1.0,1.0,0.0,0.0,0.3344340988875251,0.13747710693794113,0.0551844111172877,0.012247282042439168,0.07348369225463498,0.006641332397305744,0.0,1.0
validation,industry_size,20,0.2,0.02,94,-0.06838287573993651,-0.010111712645381863,-0.3667784439747006,0.06598259413684882,-0.07040441172909229,0.10128077929179108,0.1012814170758872,1.0000066681411972,71.76595744680851,0.0761964447802862,0.9238035552197136,1.0,1.0,0.0,0.0,0.3290487452424234,0.1384946039250991,0.05488360934990503,0.01167864977620081,0.07007189865720487,0.006641331543158102,0.0,1.0
validation,industry_size_liquidity_vol_mom,20,0.0,0.0,94,-0.1633463886389217,-0.07924623494529431,-0.39093637147603066,-0.054188158597926805,-0.17746171853068504,0.10157687843687271,0.19155161333559423,1.8881523536758722,76.08510638297872,0.1978094232844161,0.8021905767155839,1.0,1.0,0.0,0.0,0.7324754579239348,0.3143866976984616,0.3824754581006845,0.05182398957698306,0.829183833231729,0.006894563372455623,0.0,1.0
validation,industry_size_liquidity_vol_mom,20,0.0,0.02,94,-0.15726822683152553,-0.07524024180941129,-0.38763986769709247,-0.047262202944632015,-0.1714174428091092,0.10059724415536685,0.10060176823366293,1.0000531200833844,75.73404255319149,0.1976723141342022,0.8023276858657978,1.0,1.0,0.0,0.0,0.730481879980181,0.31421184280284137,0.3804818802584344,0.05187616685086218,0.8300186696137949,0.006886366200707982,0.0,1.0
