code,price
300272.SZ,6.16
300274.SZ,174.0
300275.SZ,9.75
300276.SZ,7.93
300277.SZ,15.63
300278.SZ,4.55
300279.SZ,7.17
300281.SZ,7.46
300283.SZ,16.14
300284.SZ,6.07
300285.SZ,51.6
300286.SZ,31.25
300287.SZ,4.05
300288.SZ,10.57
300289.SZ,6.13
300290.SZ,10.36
300291.SZ,7.14
300292.SZ,5.36
300293.SZ,17.46
300294.SZ,17.01
300296.SZ,6.59
300298.SZ,15.72
300299.SZ,5.64
300300.SZ,9.72
300301.SZ,3.37
300302.SZ,49.25
300303.SZ,8.51
300304.SZ,13.22
300305.SZ,6.92
300306.SZ,11.0
300307.SZ,6.8
300308.SZ,1130.0
300310.SZ,5.35
300311.SZ,5.49
300313.SZ,9.66
300314.SZ,10.44
300315.SZ,4.6
300316.SZ,47.65
300317.SZ,5.91
300318.SZ,5.09
300319.SZ,15.46
300320.SZ,8.94
300321.SZ,43.95
300322.SZ,28.86
300323.SZ,15.01
300324.SZ,4.52
300326.SZ,6.95
300327.SZ,29.18
300328.SZ,17.99
300329.SZ,13.03
300331.SZ,51.28
300332.SZ,5.14
300333.SZ,10.38
300334.SZ,7.62
300335.SZ,6.3
300337.SZ,12.22
300339.SZ,45.15
300340.SZ,9.8
300341.SZ,14.69
300342.SZ,48.65
300343.SZ,6.98
300345.SZ,6.08
300346.SZ,49.31
300347.SZ,39.44
300348.SZ,10.48
300349.SZ,13.25
300350.SZ,4.74
300351.SZ,17.59
300353.SZ,20.69
300354.SZ,32.95
300355.SZ,3.27
300357.SZ,23.13
300358.SZ,8.45
300359.SZ,4.29
300360.SZ,14.96
300363.SZ,14.62
300364.SZ,26.6
300365.SZ,5.57
300366.SZ,5.55
300368.SZ,10.27
300369.SZ,6.62
300370.SZ,2.44
300371.SZ,11.71
300373.SZ,99.25
300374.SZ,12.61
300375.SZ,4.41
300376.SZ,5.12
300377.SZ,14.24
300378.SZ,40.39
300380.SZ,33.86
300381.SZ,6.69
300382.SZ,15.78
300383.SZ,13.49
300384.SZ,12.93
300386.SZ,11.12
300387.SZ,7.96
300388.SZ,7.8
300389.SZ,14.13
300390.SZ,84.86
300393.SZ,9.25
300394.SZ,428.88
300395.SZ,116.44
300397.SZ,13.14
300398.SZ,35.14
300399.SZ,20.64
300400.SZ,28.85
300401.SZ,12.31
300402.SZ,16.02
300403.SZ,10.43
300404.SZ,10.0
300405.SZ,6.6
300406.SZ,11.99
300407.SZ,12.46
300408.SZ,125.63
300409.SZ,22.55
300410.SZ,11.75
300411.SZ,8.3
300412.SZ,4.71
300413.SZ,17.9
300414.SZ,12.11
300415.SZ,21.95
300416.SZ,18.56
300417.SZ,13.3
300418.SZ,44.99
300419.SZ,6.76
300420.SZ,5.02
300421.SZ,22.41
300422.SZ,5.49
300423.SZ,6.69
300424.SZ,20.11
300425.SZ,4.5
300426.SZ,6.63
300427.SZ,7.29
300428.SZ,20.93
300429.SZ,13.58
300432.SZ,23.5
300433.SZ,41.83
300434.SZ,10.06
300435.SZ,18.6
300436.SZ,101.45
300437.SZ,12.66
300438.SZ,77.72
300439.SZ,9.29
300440.SZ,17.45
300441.SZ,6.37
300442.SZ,82.19
300443.SZ,27.06
300444.SZ,14.85
300445.SZ,23.38
300446.SZ,16.3
300447.SZ,15.94
300448.SZ,7.9
300449.SZ,7.96
300450.SZ,49.19
300451.SZ,3.96
300452.SZ,12.89
300453.SZ,9.35
300454.SZ,116.84
300455.SZ,21.92
300456.SZ,44.5
300457.SZ,26.44
300458.SZ,33.8
300459.SZ,4.04
300460.SZ,9.64
300461.SZ,47.53
300462.SZ,12.85
300463.SZ,9.63
300464.SZ,9.31
300465.SZ,14.0
300466.SZ,8.26
300467.SZ,35.44
300468.SZ,24.48
300469.SZ,48.56
300470.SZ,32.22
300471.SZ,10.11
300472.SZ,8.54
300473.SZ,35.4
300474.SZ,56.61
300475.SZ,167.09
300476.SZ,342.35
300477.SZ,2.72
300478.SZ,44.81
300479.SZ,15.13
300480.SZ,32.48
300481.SZ,14.6
300482.SZ,17.81
300483.SZ,20.8
300484.SZ,15.51
300485.SZ,9.06
300486.SZ,24.98
300487.SZ,58.98
300488.SZ,32.39
300489.SZ,138.61
300490.SZ,15.66
300491.SZ,33.2
300492.SZ,43.83
300493.SZ,15.35
300494.SZ,9.59
300496.SZ,65.76
300497.SZ,15.39
300498.SZ,13.63
300499.SZ,36.64
300500.SZ,11.46
300501.SZ,13.87
300502.SZ,679.82
300503.SZ,72.37
300504.SZ,19.06
300505.SZ,21.13
300506.SZ,4.87
300507.SZ,7.82
300508.SZ,40.36
300509.SZ,10.02
300510.SZ,3.85
300511.SZ,6.24
300512.SZ,8.17
300513.SZ,8.36
300514.SZ,11.36
300515.SZ,16.21
300516.SZ,33.79
300517.SZ,11.76
300518.SZ,29.6
300519.SZ,14.29
300520.SZ,34.93
300521.SZ,25.25
300522.SZ,12.35
300523.SZ,21.83
300525.SZ,8.98
300527.SZ,7.65
300528.SZ,17.58
300529.SZ,18.26
300530.SZ,21.63
300531.SZ,15.99
300532.SZ,7.13
300533.SZ,16.61
300534.SZ,8.17
300535.SZ,16.67
300536.SZ,10.7
300537.SZ,26.33
300538.SZ,16.75
300539.SZ,24.14
300540.SZ,25.74
300541.SZ,11.17
300542.SZ,13.35
300543.SZ,8.82
300545.SZ,33.74
300546.SZ,17.61
300547.SZ,33.87
300548.SZ,219.34
300549.SZ,15.93
300551.SZ,11.84
300552.SZ,28.04
300553.SZ,60.8
300554.SZ,27.05
300555.SZ,13.28
300556.SZ,19.63
300557.SZ,34.22
300558.SZ,51.22
300559.SZ,11.6
300560.SZ,19.14
300562.SZ,12.59
300563.SZ,29.89
300564.SZ,15.02
300565.SZ,13.2
300566.SZ,23.0
300567.SZ,184.23
300568.SZ,17.03
300569.SZ,5.46
300570.SZ,147.75
300571.SZ,45.43
300572.SZ,29.18
300573.SZ,38.81
300575.SZ,6.21
300576.SZ,42.52
300577.SZ,16.93
300578.SZ,18.94
300579.SZ,23.73
300580.SZ,23.01
300581.SZ,11.02
300582.SZ,14.7
300583.SZ,13.18
300584.SZ,34.56
300585.SZ,18.27
300586.SZ,11.3
300587.SZ,5.06
300588.SZ,19.25
300589.SZ,13.73
300590.SZ,14.83
300591.SZ,7.89
300592.SZ,12.3
300593.SZ,35.2
300595.SZ,12.19
300596.SZ,47.59
300597.SZ,8.71
300598.SZ,34.6
300599.SZ,13.06
300600.SZ,11.08
300601.SZ,12.69
300602.SZ,44.62
300603.SZ,9.21
300604.SZ,203.64
300605.SZ,11.56
300606.SZ,33.3
300607.SZ,30.65
300608.SZ,12.4
300609.SZ,38.23
300610.SZ,11.21
300611.SZ,27.83
300612.SZ,13.75
300613.SZ,59.22
300614.SZ,12.3
300615.SZ,11.74
300616.SZ,15.02
300617.SZ,68.4
300618.SZ,38.5
300619.SZ,41.2
300620.SZ,278.65
300621.SZ,8.04
300622.SZ,17.59
300623.SZ,33.44
300624.SZ,62.9
300625.SZ,11.45
300626.SZ,34.05
300627.SZ,27.9
300628.SZ,38.15
300629.SZ,22.68
300631.SZ,24.63
300632.SZ,26.82
300633.SZ,20.57
300634.SZ,26.35
300635.SZ,14.18
300636.SZ,7.03
300637.SZ,10.1
300638.SZ,23.28
300639.SZ,5.82
300640.SZ,6.83
300641.SZ,15.41
300642.SZ,14.2
300643.SZ,17.15
300644.SZ,25.01
300645.SZ,14.61
300647.SZ,6.57
300648.SZ,49.04
300649.SZ,25.26
300650.SZ,13.96
300651.SZ,28.5
300652.SZ,42.38
300653.SZ,16.44
300654.SZ,9.63
300655.SZ,14.56
300656.SZ,30.1
300657.SZ,40.05
300658.SZ,12.34
300659.SZ,11.45
300660.SZ,42.69
300661.SZ,105.66
300662.SZ,22.25
300663.SZ,8.2
300664.SZ,5.07
300665.SZ,9.72
300666.SZ,188.06
300667.SZ,16.96
300668.SZ,59.94
300669.SZ,29.22
300670.SZ,6.87
300671.SZ,44.9
300672.SZ,312.58
300673.SZ,15.7
300674.SZ,17.18
300675.SZ,14.86
300676.SZ,36.4
300677.SZ,45.09
300678.SZ,24.93
300679.SZ,53.81
300680.SZ,33.97
300681.SZ,31.82
300682.SZ,12.78
300683.SZ,27.52
300684.SZ,58.0
300686.SZ,15.45
300687.SZ,26.08
300688.SZ,25.66
300689.SZ,54.55
300690.SZ,25.67
300691.SZ,16.1
300692.SZ,8.18
300693.SZ,50.94
300694.SZ,10.81
300695.SZ,62.26
300696.SZ,30.38
300697.SZ,16.48
300698.SZ,34.9
300699.SZ,29.63
300700.SZ,18.74
300701.SZ,11.07
300702.SZ,19.3
300703.SZ,17.61
300705.SZ,11.85
300706.SZ,48.18
300707.SZ,13.13
300708.SZ,9.0
300709.SZ,44.66
300710.SZ,36.92
300711.SZ,19.46
300712.SZ,23.44
300713.SZ,15.97
300715.SZ,21.76
300717.SZ,19.09
300718.SZ,71.97
300719.SZ,12.68
300720.SZ,65.73
300721.SZ,33.4
300722.SZ,24.03
300723.SZ,42.4
300724.SZ,78.62
300725.SZ,35.17
300726.SZ,60.16
300727.SZ,33.77
300729.SZ,11.61
300730.SZ,15.21
300731.SZ,62.03
300732.SZ,7.18
300733.SZ,16.97
300735.SZ,22.05
300737.SZ,7.76
300738.SZ,21.72
300739.SZ,31.6
300740.SZ,24.92
300741.SZ,14.68
300743.SZ,18.01
300745.SZ,43.05
300746.SZ,11.4
300747.SZ,39.1
300748.SZ,30.77
300749.SZ,22.55
300750.SZ,420.1
300751.SZ,242.48
300752.SZ,14.5
300753.SZ,22.34
300755.SZ,16.38
300756.SZ,32.33
300757.SZ,595.98
300758.SZ,12.78
300759.SZ,24.54
300760.SZ,149.43
300761.SZ,20.75
300762.SZ,32.2
300763.SZ,117.5
300765.SZ,25.95
300766.SZ,25.68
300767.SZ,19.61
300768.SZ,16.56
300769.SZ,65.41
300770.SZ,35.83
300771.SZ,12.02
300772.SZ,15.17
300773.SZ,24.6
300774.SZ,14.22
300775.SZ,24.84
300776.SZ,146.0
300777.SZ,32.21
300778.SZ,12.09
300779.SZ,81.26
300780.SZ,27.16
300781.SZ,32.99
300782.SZ,100.35
300783.SZ,18.46
300784.SZ,46.45
300785.SZ,48.67
300786.SZ,18.15
300787.SZ,10.01
300788.SZ,28.07
300789.SZ,22.1
300790.SZ,31.88
300791.SZ,18.75
300792.SZ,35.66
300793.SZ,13.79
300795.SZ,10.68
300796.SZ,7.86
300797.SZ,14.23
300798.SZ,8.0
300800.SZ,10.96
300801.SZ,26.94
300802.SZ,21.7
300803.SZ,91.13
300804.SZ,38.04
300805.SZ,9.01
300806.SZ,72.09
300808.SZ,23.97
300809.SZ,36.1
300810.SZ,27.41
300811.SZ,82.45
300812.SZ,35.1
300813.SZ,21.9
300814.SZ,144.45
300815.SZ,20.54
300816.SZ,91.49
300817.SZ,18.6
300818.SZ,24.45
300819.SZ,64.74
300820.SZ,64.42
300821.SZ,15.67
300822.SZ,14.66
300823.SZ,17.58
300824.SZ,8.83
300825.SZ,13.88
300826.SZ,17.6
300827.SZ,33.52
300828.SZ,19.41
300829.SZ,17.87
300830.SZ,9.8
300831.SZ,21.16
300832.SZ,46.57
300833.SZ,35.33
300834.SZ,46.01
300835.SZ,170.8
300836.SZ,69.88
300837.SZ,29.76
300838.SZ,17.67
300839.SZ,16.9
300840.SZ,22.93
300841.SZ,48.05
300842.SZ,82.3
300843.SZ,85.75
300844.SZ,28.0
300845.SZ,14.54
300846.SZ,24.46
300847.SZ,14.62
300848.SZ,14.59
300849.SZ,25.36
300850.SZ,33.9
300852.SZ,51.07
300853.SZ,38.1
300854.SZ,28.92
300855.SZ,36.17
300856.SZ,13.32
300857.SZ,236.46
300858.SZ,16.19
300859.SZ,28.66
300860.SZ,26.28
300861.SZ,19.19
300862.SZ,22.86
300863.SZ,63.88
300864.SZ,22.86
300865.SZ,27.93
300866.SZ,122.69
300867.SZ,20.33
300868.SZ,103.33
300869.SZ,11.7
300870.SZ,254.0
300871.SZ,21.27
300872.SZ,19.96
300873.SZ,22.27
300875.SZ,33.92
300876.SZ,26.08
300877.SZ,32.6
300878.SZ,30.8
300879.SZ,19.3
300880.SZ,23.7
300881.SZ,50.95
300882.SZ,17.18
300883.SZ,6.6
300884.SZ,11.38
300885.SZ,26.46
300886.SZ,24.98
300887.SZ,8.86
300888.SZ,29.49
300889.SZ,23.05
300890.SZ,36.01
300891.SZ,7.35
300892.SZ,24.7
300893.SZ,20.62
300894.SZ,9.43
300895.SZ,60.0
300896.SZ,104.35
300897.SZ,19.45
300898.SZ,22.45
300900.SZ,34.18
300901.SZ,15.32
300902.SZ,15.72
300903.SZ,66.56
300904.SZ,51.2
300905.SZ,62.78
300906.SZ,31.06
300907.SZ,40.3
300908.SZ,24.86
300909.SZ,47.15
300910.SZ,34.6
300911.SZ,25.62
300912.SZ,26.33
300913.SZ,59.75
300915.SZ,24.25
300916.SZ,33.14
300917.SZ,30.9
300918.SZ,12.42
300919.SZ,51.9
300920.SZ,46.86
300921.SZ,18.78
300922.SZ,24.27
300923.SZ,24.42
300925.SZ,16.65
300926.SZ,19.87
300927.SZ,24.47
300928.SZ,33.27
300929.SZ,12.39
300930.SZ,33.14
300931.SZ,15.6
300932.SZ,10.05
300933.SZ,7.74
300935.SZ,36.9
300936.SZ,101.88
300937.SZ,23.72
300938.SZ,52.55
300939.SZ,69.16
300940.SZ,17.82
300941.SZ,16.56
300942.SZ,6.9
300943.SZ,39.36
300945.SZ,12.98
300946.SZ,46.01
300947.SZ,15.77
300948.SZ,28.13
300949.SZ,25.93
300950.SZ,19.12
300951.SZ,38.77
300952.SZ,22.81
300953.SZ,145.34
300955.SZ,42.5
300956.SZ,16.94
300957.SZ,38.14
300958.SZ,13.27
300959.SZ,206.87
300960.SZ,18.75
300961.SZ,12.34
300962.SZ,13.87
300963.SZ,14.71
300964.SZ,106.5
300966.SZ,27.04
300967.SZ,21.02
300968.SZ,11.76
300969.SZ,102.28
300970.SZ,29.0
300971.SZ,22.01
300972.SZ,193.38
300973.SZ,28.42
300975.SZ,38.51
300976.SZ,59.55
300977.SZ,20.25
300978.SZ,10.03
300979.SZ,34.82
300980.SZ,27.19
300981.SZ,12.74
300982.SZ,22.27
300983.SZ,34.99
300984.SZ,56.26
300985.SZ,23.83
300986.SZ,19.74
300987.SZ,14.93
300988.SZ,18.36
300989.SZ,14.47
300990.SZ,77.8
300991.SZ,38.65
300993.SZ,10.94
300994.SZ,12.86
300995.SZ,33.96
300996.SZ,12.64
300997.SZ,19.9
300998.SZ,27.27
300999.SZ,27.44
301000.SZ,30.32
301001.SZ,27.92
301002.SZ,48.34
301003.SZ,51.54
301004.SZ,39.06
301005.SZ,138.47
301006.SZ,15.57
301007.SZ,34.15
301008.SZ,25.38
301009.SZ,9.81
301010.SZ,20.71
301011.SZ,17.28
301012.SZ,32.79
301013.SZ,46.3
301015.SZ,21.82
301016.SZ,15.71
301017.SZ,14.66
301018.SZ,132.93
301019.SZ,21.75
301020.SZ,25.68
301021.SZ,96.3
301023.SZ,38.4
301024.SZ,46.82
301025.SZ,9.78
301026.SZ,23.65
301027.SZ,21.08
301028.SZ,20.16
301029.SZ,27.42
301031.SZ,169.29
301032.SZ,11.38
301033.SZ,49.28
301035.SZ,54.59
301036.SZ,24.85
301037.SZ,15.75
301038.SZ,19.65
301039.SZ,8.15
301040.SZ,29.93
301041.SZ,34.5
301042.SZ,102.31
301043.SZ,45.79
301045.SZ,51.14
301046.SZ,26.49
301047.SZ,63.7
301048.SZ,9.92
301049.SZ,22.01
301050.SZ,37.79
301051.SZ,17.51
301052.SZ,28.44
301053.SZ,43.2
301055.SZ,32.99
301056.SZ,13.21
301058.SZ,9.13
301059.SZ,14.3
301060.SZ,9.83
301061.SZ,42.73
301062.SZ,6.99
301063.SZ,20.71
301065.SZ,21.44
301066.SZ,14.38
301067.SZ,32.31
301068.SZ,30.09
301069.SZ,19.33
301070.SZ,93.78
301071.SZ,72.74
301072.SZ,23.02
301073.SZ,23.17
301075.SZ,76.33
301076.SZ,28.24
301077.SZ,27.51
301078.SZ,9.51
301079.SZ,35.92
301080.SZ,40.08
301081.SZ,19.62
301082.SZ,10.67
301083.SZ,15.68
301085.SZ,72.99
301086.SZ,156.7
301087.SZ,47.01
301088.SZ,14.9
301089.SZ,24.42
301090.SZ,7.28
301091.SZ,18.69
301092.SZ,50.4
301093.SZ,127.1
301095.SZ,89.4
301097.SZ,53.05
301098.SZ,9.68
301099.SZ,64.74
301100.SZ,16.77
301101.SZ,32.97
301102.SZ,10.1
301103.SZ,17.78
301105.SZ,53.06
301106.SZ,26.56
301107.SZ,22.82
301108.SZ,24.43
301109.SZ,14.57
301110.SZ,45.86
301111.SZ,26.9
301112.SZ,33.5
301113.SZ,18.76
301115.SZ,29.05
301116.SZ,10.1
301117.SZ,27.17
301118.SZ,30.07
301119.SZ,35.09
301120.SZ,27.15
301121.SZ,37.6
301122.SZ,27.92
301123.SZ,88.75
301125.SZ,16.25
301126.SZ,10.6
301127.SZ,14.25
301128.SZ,128.01
301129.SZ,26.17
301130.SZ,28.9
301131.SZ,38.05
301132.SZ,39.45
301133.SZ,39.54
301135.SZ,18.69
301136.SZ,13.86
301137.SZ,41.02
301138.SZ,29.4
301141.SZ,47.39
301148.SZ,60.16
301149.SZ,11.79
301150.SZ,63.31
301151.SZ,16.21
301152.SZ,27.72
301153.SZ,19.43
301155.SZ,61.13
301156.SZ,13.88
301157.SZ,68.59
301158.SZ,16.47
301159.SZ,36.04
301160.SZ,53.69
301161.SZ,31.0
301162.SZ,50.63
301163.SZ,27.1
301165.SZ,61.4
301166.SZ,28.44
301167.SZ,15.56
301168.SZ,41.21
301169.SZ,79.88
301170.SZ,25.87
301171.SZ,46.43
301172.SZ,32.29
301173.SZ,37.05
301175.SZ,5.85
301176.SZ,43.19
301177.SZ,26.01
301178.SZ,53.1
301179.SZ,23.44
301180.SZ,15.34
301181.SZ,31.55
301182.SZ,75.05
301183.SZ,218.61
301185.SZ,16.78
301186.SZ,65.16
301187.SZ,18.68
301188.SZ,44.22
301189.SZ,108.56
301190.SZ,21.98
301191.SZ,141.2
301192.SZ,23.51
301193.SZ,21.0
301195.SZ,28.92
301196.SZ,118.5
301197.SZ,31.44
301198.SZ,18.5
301199.SZ,19.95
301200.SZ,275.8
301201.SZ,33.31
301202.SZ,39.43
301203.SZ,43.8
301205.SZ,312.69
301206.SZ,25.55
301207.SZ,18.21
301208.SZ,30.07
301209.SZ,91.47
301210.SZ,39.35
301211.SZ,10.24
301212.SZ,30.33
301213.SZ,66.0
301215.SZ,5.88
301216.SZ,25.07
301217.SZ,104.89
301218.SZ,38.2
301219.SZ,76.53
301220.SZ,38.61
301221.SZ,32.88
301222.SZ,32.62
301223.SZ,17.73
301225.SZ,93.7
301226.SZ,36.42
301227.SZ,31.44
301228.SZ,70.45
301229.SZ,15.12
301230.SZ,35.61
301231.SZ,33.95
301232.SZ,128.74
301233.SZ,64.14
301234.SZ,40.31
301235.SZ,61.01
301236.SZ,39.65
301237.SZ,66.28
301238.SZ,24.91
301239.SZ,38.52
301246.SZ,31.71
301248.SZ,76.08
301251.SZ,50.16
301252.SZ,33.71
301255.SZ,25.09
301256.SZ,11.75
301257.SZ,42.42
301258.SZ,27.18
301259.SZ,35.69
301260.SZ,15.62
301261.SZ,87.6
301262.SZ,22.02
301263.SZ,21.11
301265.SZ,26.94
301266.SZ,25.92
301267.SZ,17.58
301268.SZ,17.02
301269.SZ,105.75
301270.SZ,30.42
301272.SZ,40.22
301273.SZ,41.61
301275.SZ,45.32
301276.SZ,25.8
301277.SZ,10.09
301278.SZ,35.74
301279.SZ,22.95
301280.SZ,39.18
301281.SZ,40.16
301282.SZ,27.82
301283.SZ,27.97
301285.SZ,112.22
301286.SZ,53.35
301287.SZ,37.6
301289.SZ,51.1
301290.SZ,31.57
301291.SZ,56.04
301292.SZ,72.05
301293.SZ,58.38
301295.SZ,48.64
301296.SZ,6.99
301297.SZ,40.07
301298.SZ,14.41
301299.SZ,53.4
301300.SZ,36.35
301301.SZ,9.05
301302.SZ,26.21
301303.SZ,13.81
301305.SZ,30.83
301306.SZ,126.61
301307.SZ,58.28
301308.SZ,505.8
301310.SZ,32.74
301311.SZ,15.2
301312.SZ,117.05
301313.SZ,47.8
301314.SZ,46.05
301315.SZ,44.55
301316.SZ,43.58
301317.SZ,63.1
301318.SZ,22.8
301319.SZ,108.95
301320.SZ,14.92
301321.SZ,31.45
301322.SZ,51.15
301323.SZ,77.83
301325.SZ,46.82
301326.SZ,141.8
301327.SZ,55.87
301328.SZ,53.76
301329.SZ,31.38
301330.SZ,27.6
301331.SZ,25.06
301332.SZ,8.82
301333.SZ,50.13
301335.SZ,23.45
301336.SZ,41.2
301337.SZ,26.27
301338.SZ,234.5
301339.SZ,11.91
301345.SZ,212.32
301348.SZ,25.28
301349.SZ,61.78
301353.SZ,26.92
301355.SZ,11.3
301356.SZ,24.85
301357.SZ,92.9
301358.SZ,85.07
301359.SZ,21.2
301360.SZ,74.27
301361.SZ,39.98
301362.SZ,152.5
301363.SZ,24.92
301365.SZ,33.05
301366.SZ,42.36
301367.SZ,44.63
301368.SZ,47.31
301369.SZ,182.65
301370.SZ,9.57
301371.SZ,30.24
301372.SZ,35.32
301373.SZ,140.48
301376.SZ,18.4
301377.SZ,338.37
301378.SZ,30.02
301379.SZ,31.64
301380.SZ,32.12
301381.SZ,19.26
301382.SZ,42.14
301383.SZ,27.7
301386.SZ,23.78
301387.SZ,91.35
301388.SZ,29.2
301389.SZ,80.2
301390.SZ,34.32
301391.SZ,63.05
301392.SZ,166.49
301393.SZ,56.19
301395.SZ,13.12
301396.SZ,169.77
301397.SZ,31.85
301398.SZ,39.82
301399.SZ,18.62
301408.SZ,18.3
301413.SZ,87.63
301418.SZ,39.45
301419.SZ,37.4
301421.SZ,89.95
301428.SZ,31.58
301429.SZ,20.57
301439.SZ,23.48
301446.SZ,46.94
301448.SZ,34.43
301449.SZ,61.41
301456.SZ,29.12
301458.SZ,47.75
301459.SZ,35.06
301468.SZ,44.45
301469.SZ,34.3
301479.SZ,66.86
301486.SZ,225.5
301487.SZ,25.11
301488.SZ,146.89
301489.SZ,154.18
301491.SZ,44.61
301498.SZ,44.8
301499.SZ,33.55
301500.SZ,25.4
301501.SZ,31.78
301502.SZ,77.76
301503.SZ,33.2
301505.SZ,20.34
301507.SZ,13.13
301508.SZ,26.31
301509.SZ,29.95
301510.SZ,32.08
301511.SZ,128.53
301512.SZ,53.71
301515.SZ,21.71
301516.SZ,17.75
301517.SZ,54.16
301518.SZ,31.61
301519.SZ,13.8
301520.SZ,37.95
