split,mode,k,signal_date,execution_date,ts_code,close_weight,pred_score
test,full_topk,30,20250813,20250814,300759.SZ,0.03321579828458718,-0.0019422108307480812
test,full_topk,30,20250813,20250814,300919.SZ,0.03320642745686154,-0.0019437598530203104
test,full_topk,30,20250813,20250814,302132.SZ,0.033349019186318475,-0.001939574722200632
test,full_topk,30,20250814,20250815,300001.SZ,0.03393057339608181,-0.0019370806403458118
test,full_topk,30,20250814,20250815,300002.SZ,0.0322408607601755,-0.0019373419927433133
test,full_topk,30,20250814,20250815,300003.SZ,0.03285254511664565,-0.0019351928494870663
test,full_topk,30,20250814,20250815,300012.SZ,0.03318489063119776,-0.001930040423758328
test,full_topk,30,20250814,20250815,300015.SZ,0.03305392889295471,-0.0019438514718785882
test,full_topk,30,20250814,20250815,300024.SZ,0.03329211981043314,-0.0019440066535025835
test,full_topk,30,20250814,20250815,300037.SZ,0.033590021099915233,-0.0019400878809392452
test,full_topk,30,20250814,20250815,300054.SZ,0.03308041089408078,-0.001944044604897499
test,full_topk,30,20250814,20250815,300058.SZ,0.03339321367488694,-0.001929507008753717
test,full_topk,30,20250814,20250815,300059.SZ,0.03591117291441496,-0.0019384943880140781
test,full_topk,30,20250814,20250815,300070.SZ,0.03355135758719462,-0.0019220280228182673
test,full_topk,30,20250814,20250815,300073.SZ,0.03357590509220662,-0.001941379625350237
test,full_topk,30,20250814,20250815,300136.SZ,0.034939154233821185,-0.0019328841008245945
test,full_topk,30,20250814,20250815,300142.SZ,0.033112949121528866,-0.0019314649980515242
test,full_topk,30,20250814,20250815,300144.SZ,0.03312523887217559,-0.0019327662885189056
test,full_topk,30,20250814,20250815,300146.SZ,0.032970114360992425,-0.0019389563240110874
test,full_topk,30,20250814,20250815,300251.SZ,0.032979973363263484,-0.0019335673423483968
test,full_topk,30,20250814,20250815,300373.SZ,0.032981589614491255,-0.0019405060447752476
test,full_topk,30,20250814,20250815,300433.SZ,0.03305294910035079,-0.0019350418588146567
test,full_topk,30,20250814,20250815,300450.SZ,0.03354533276371375,-0.0019353852840140462
test,full_topk,30,20250814,20250815,300498.SZ,0.03279286214019307,-0.0019245860166847706
test,full_topk,30,20250814,20250815,300529.SZ,0.03303183738349403,-0.0019404222257435322
test,full_topk,30,20250814,20250815,300595.SZ,0.03325544049934385,-0.0019374779658392072
test,full_topk,30,20250814,20250815,300601.SZ,0.033259988423704784,-0.0019329491769894958
test,full_topk,30,20250814,20250815,300628.SZ,0.033111256388869546,-0.0019328047055751085
test,full_topk,30,20250814,20250815,300699.SZ,0.03372455114687356,-0.0019247217569500208
test,full_topk,30,20250814,20250815,300748.SZ,0.03365066000737721,-0.001938283909112215
