run,dropped_feature,split,year,days,ic_mean,rank_ic_mean,rank_icir,base_ic_mean,base_rank_ic_mean,base_rank_icir,delta_ic_mean,delta_rank_ic_mean,delta_rank_icir
drop_turnover_60d_std_resid,lag1_turnover_60d_std__resid_style,test,2026,86,-0.047507503053271685,-0.011888600189000752,-0.06759196877362376,-0.05557750824821432,-0.034942848386144205,-0.23519268023230255,0.008070005194942637,0.023054248197143454,0.16760071145867877
drop_turnover_60d_std_resid,lag1_turnover_60d_std__resid_style,validation,2023,242,0.03284105943334211,0.04498948866287008,0.3108621672002959,-0.001553983492562035,0.04778077047280788,0.34419325415416596,0.034395042925904146,-0.002791281809937804,-0.03333108695387005
drop_turnover_60d_std_resid,lag1_turnover_60d_std__resid_style,validation,2024,242,0.018747471076389677,0.03348655379104538,0.20463653269638535,0.013138382551920007,0.02936253176029038,0.19665851895986725,0.005609088524469671,0.004124022030754997,0.007978013736518103
drop_amount_rank_pct_resid,lag1_amount_rank_pct__resid_style,test,2025,243,-0.01802695320848525,0.008683573499179725,0.05668711259563279,-0.0384603142707771,0.01919367900778018,0.13696147291831426,0.020433361062291846,-0.010510105508600456,-0.08027436032268147
drop_amount_rank_pct_resid,lag1_amount_rank_pct__resid_style,test,2026,86,-0.005100378312566531,0.01724791057543043,0.10896152592034622,-0.05557750824821432,-0.034942848386144205,-0.23519268023230255,0.05047712993564779,0.052190758961574636,0.3441542061526488
drop_amount_rank_pct_resid,lag1_amount_rank_pct__resid_style,validation,2023,242,0.036587434148124036,0.04517767569775892,0.2965121798939672,-0.001553983492562035,0.04778077047280788,0.34419325415416596,0.03814141764068607,-0.0026030947750489628,-0.04768107426019874
drop_amount_rank_pct_resid,lag1_amount_rank_pct__resid_style,validation,2024,242,0.005027263103961682,0.03375357247599939,0.2146075041032079,0.013138382551920007,0.02936253176029038,0.19665851895986725,-0.008111119447958325,0.004391040715709008,0.017948985143340646
drop_amount_log_resid,lag1_amount_log__resid_style,test,2025,243,-0.03056089531917192,0.015691277474868513,0.09621914219608811,-0.0384603142707771,0.01919367900778018,0.13696147291831426,0.007899418951605178,-0.0035024015329116684,-0.04074233072222615
drop_amount_log_resid,lag1_amount_log__resid_style,test,2026,86,-0.04658513661155705,0.002312975643828817,0.014310014796722073,-0.05557750824821432,-0.034942848386144205,-0.23519268023230255,0.008992371636657275,0.037255824029973024,0.2495026950290246
drop_amount_log_resid,lag1_amount_log__resid_style,validation,2023,242,0.05369474830028767,0.06581429471780953,0.417508116882651,-0.001553983492562035,0.04778077047280788,0.34419325415416596,0.055248731792849705,0.018033524245001646,0.07331486272848503
drop_amount_log_resid,lag1_amount_log__resid_style,validation,2024,242,-0.011942204402965239,0.03184970400985083,0.20326168009226442,0.013138382551920007,0.02936253176029038,0.19665851895986725,-0.025080586954885246,0.002487172249560448,0.006603161132397173
