run,dropped_feature,split,k,top_mean,bottom_mean,spread,spread_ir,spread_positive_rate,quantile_high_minus_low,base_spread,base_spread_ir,base_quantile_high_minus_low,delta_spread,delta_spread_ir,delta_quantile_high_minus_low
drop_turnover_20d_std_resid,lag1_turnover_20d_std__resid_style,validation,20,0.0004115924894145145,-0.00377438196374889,0.004185974453163405,0.18886486138311406,0.5764462809917356,0.004446616700935115,0.002581264490292732,0.11588670885765907,0.002569485109609762,0.0016047099628706727,0.07297815252545499,0.001877131591325353
drop_turnover_20d_std_resid,lag1_turnover_20d_std__resid_style,validation,30,0.00030009025727504045,-0.00326964734471373,0.0035697376019887704,0.20629072923773198,0.5826446280991735,0.004446616700935115,0.0016875594471085524,0.09394295443333255,0.002569485109609762,0.001882178154880218,0.11234777480439943,0.001877131591325353
drop_turnover_60d_std_resid,lag1_turnover_60d_std__resid_style,test,10,-0.002622216653819571,5.44860021803545e-06,-0.0026276652540376064,-0.060571281653560745,0.47720364741641336,-0.0021139112616469693,-0.005121773287841815,-0.12386226083005254,-0.006118368701457763,0.0024941080338042087,0.06329097917649179,0.004004457439810794
drop_turnover_60d_std_resid,lag1_turnover_60d_std__resid_style,test,20,-0.002666320502999526,0.00012939636387706926,-0.0027957168668765954,-0.08936971189735732,0.47416413373860183,-0.0021139112616469693,-0.0040084569515057055,-0.14126449863529214,-0.006118368701457763,0.00121274008462911,0.05189478673793482,0.004004457439810794
drop_turnover_60d_std_resid,lag1_turnover_60d_std__resid_style,test,30,-0.0031983303802823374,0.0002265135407162792,-0.0034248439209986162,-0.13020605227232518,0.45592705167173253,-0.0021139112616469693,-0.003521030475417941,-0.15102908029876366,-0.006118368701457763,9.618655441932496e-05,0.020823028026438484,0.004004457439810794
drop_turnover_60d_std_resid,lag1_turnover_60d_std__resid_style,validation,10,8.543476849823973e-05,-0.0035583909196526095,0.0036438256881508495,0.11171098043662114,0.5537190082644629,0.0036369688678514495,0.0027727760410632698,0.08702633529599382,0.002569485109609762,0.0008710496470875797,0.02468464514062732,0.0010674837582416875
drop_turnover_60d_std_resid,lag1_turnover_60d_std__resid_style,validation,20,-0.0003665332372157754,-0.0028192312580313603,0.002452698020815585,0.10417310462168285,0.5289256198347108,0.0036369688678514495,0.002581264490292732,0.11588670885765907,0.002569485109609762,-0.00012856646947714693,-0.011713604235976227,0.0010674837582416875
drop_turnover_60d_std_resid,lag1_turnover_60d_std__resid_style,validation,30,-0.0008732732852602882,-0.0022357588932697754,0.0013624856080094872,0.07003077694980603,0.5351239669421488,0.0036369688678514495,0.0016875594471085524,0.09394295443333255,0.002569485109609762,-0.00032507383909906513,-0.023912177483526517,0.0010674837582416875
drop_amount_rank_pct_resid,lag1_amount_rank_pct__resid_style,test,10,-0.0018905146531976538,0.0018702258245692528,-0.0037607404777669066,-0.08965136300891284,0.47720364741641336,-0.004370891420641457,-0.005121773287841815,-0.12386226083005254,-0.006118368701457763,0.0013610328100749085,0.0342108978211397,0.0017474772808163067
drop_amount_rank_pct_resid,lag1_amount_rank_pct__resid_style,test,20,-0.0020962721585206924,0.00043672837117420774,-0.0025330005296949005,-0.0865330593190964,0.48024316109422494,-0.004370891420641457,-0.0040084569515057055,-0.14126449863529214,-0.006118368701457763,0.001475456421810805,0.05473143931619574,0.0017474772808163067
drop_amount_rank_pct_resid,lag1_amount_rank_pct__resid_style,test,30,-0.003110084282226792,0.0003112892696264962,-0.003421373551853288,-0.1425080796829566,0.4376899696048632,-0.004370891420641457,-0.003521030475417941,-0.15102908029876366,-0.006118368701457763,9.965692356465319e-05,0.008521000615807073,0.0017474772808163067
drop_amount_rank_pct_resid,lag1_amount_rank_pct__resid_style,validation,10,0.001116388096552929,-0.0027498273507676045,0.0038662154473205336,0.11077554154273377,0.5578512396694215,0.003658478987098766,0.0027727760410632698,0.08702633529599382,0.002569485109609762,0.0010934394062572638,0.023749206246739943,0.001088993877489004
drop_amount_rank_pct_resid,lag1_amount_rank_pct__resid_style,validation,20,0.00022741943976594363,-0.0021713103670712116,0.0023987298068371553,0.09416058269884875,0.5681818181818182,0.003658478987098766,0.002581264490292732,0.11588670885765907,0.002569485109609762,-0.00018253468345557668,-0.021726126158810324,0.001088993877489004
drop_amount_rank_pct_resid,lag1_amount_rank_pct__resid_style,validation,30,-0.00033342365865739475,-0.002053574025828033,0.0017201503671706384,0.09364370574152144,0.5619834710743802,0.003658478987098766,0.0016875594471085524,0.09394295443333255,0.002569485109609762,3.259092006208607e-05,-0.00029924869181111036,0.001088993877489004
drop_amount_log_resid,lag1_amount_log__resid_style,test,10,-0.0015323258429122764,0.002955645915978209,-0.0044879717588904855,-0.1091863350895441,0.44984802431610943,-0.0040509286975292744,-0.005121773287841815,-0.12386226083005254,-0.006118368701457763,0.0006338015289513296,0.014675925740508439,0.002067440003928489
drop_amount_log_resid,lag1_amount_log__resid_style,test,20,-0.0026661211487382973,0.0014790040325194011,-0.0041451251812576985,-0.14196894778440283,0.425531914893617,-0.0040509286975292744,-0.0040084569515057055,-0.14126449863529214,-0.006118368701457763,-0.00013666822975199298,-0.0007044491491106919,0.002067440003928489
drop_amount_log_resid,lag1_amount_log__resid_style,test,30,-0.0026631087761399396,0.0004941101967549935,-0.0031572189728949333,-0.12694334055897602,0.4376899696048632,-0.0040509286975292744,-0.003521030475417941,-0.15102908029876366,-0.006118368701457763,0.0003638115025230079,0.024085739739787643,0.002067440003928489
drop_amount_log_resid,lag1_amount_log__resid_style,validation,10,0.001824243618057529,-0.002587892991562245,0.0044121366096197745,0.13272385584271068,0.5640495867768595,0.004795135382202005,0.0027727760410632698,0.08702633529599382,0.002569485109609762,0.0016393605685565047,0.04569752054671686,0.002225650272592243
drop_amount_log_resid,lag1_amount_log__resid_style,validation,20,-0.00017613370429564595,-0.002146697648482992,0.001970563944187346,0.083446392003136,0.5165289256198347,0.004795135382202005,0.002581264490292732,0.11588670885765907,0.002569485109609762,-0.0006107005461053858,-0.032440316854523074,0.002225650272592243
drop_amount_log_resid,lag1_amount_log__resid_style,validation,30,-7.544978616765134e-05,-0.002360252725607804,0.0022848029394401527,0.11824005499441156,0.5330578512396694,0.004795135382202005,0.0016875594471085524,0.09394295443333255,0.002569485109609762,0.0005972434923316003,0.02429710056107902,0.002225650272592243
