run,dropped_feature,split,k,top_ann,top_cum,excess_bench_ann,excess_universe_ann,long_short_ann,long_short_cum,avg_turnover,avg_ls_turnover,base_top_ann,base_excess_universe_ann,base_long_short_ann,base_avg_turnover,delta_top_ann,delta_excess_universe_ann,delta_long_short_ann,delta_avg_turnover
drop_turnover_20d_std_resid,lag1_turnover_20d_std__resid_style,validation,20,-0.13507462203380516,-0.24367424336521237,-0.07095383327359361,-0.01468115075626153,0.04045610886526352,0.07931673693554742,0.9855670103092786,1.905154639175258,-0.1342514997028701,-0.005598877915552913,-0.05857109205519884,0.9896907216494846,-0.0008231223309350666,-0.009082272840708616,0.09902720092046235,-0.004123711340205949
drop_turnover_20d_std_resid,lag1_turnover_20d_std__resid_style,validation,30,-0.11812280099574157,-0.2148867931141608,-0.04959814720007216,0.007952891672423412,0.03349395593421223,0.06545989956769738,0.8467353951890035,1.668041237113402,-0.15419469679198183,-0.028762368164924612,-0.06664694436199903,0.8103092783505156,0.03607189579624026,0.036715259837348024,0.10014090029621125,0.036426116838487954
drop_turnover_60d_std_resid,lag1_turnover_60d_std__resid_style,test,10,0.20453332840524197,0.27595151067887347,-0.28370241880970015,-0.20738826138840427,-0.2740198648272245,-0.3425274396158059,1.3696969696969699,2.293939393939394,0.3304591286275993,-0.11226139525128842,-0.33066114686758075,1.1636363636363638,-0.12592580022235733,-0.09512686613711585,0.05664128204035623,0.20606060606060606
drop_turnover_60d_std_resid,lag1_turnover_60d_std__resid_style,test,20,0.47778691560756537,0.6676722904431247,-0.1169133753823336,-0.021189390997361612,-0.15949822086385723,-0.2035077607388358,1.0863636363636366,1.8575757575757579,0.4127107637935603,-0.06089006450175227,-0.28015431076652875,0.9772727272727275,0.06507615181400506,0.03970067350439066,0.12065608990267152,0.10909090909090913
drop_turnover_60d_std_resid,lag1_turnover_60d_std__resid_style,test,30,0.3753990722646885,0.5180137802200846,-0.17666152382249067,-0.0883935477103891,-0.23721795950298963,-0.29854373044641247,0.8151515151515151,1.4707070707070704,0.40131811880787316,-0.06685548532747454,-0.2569410185978612,0.7757575757575756,-0.025919046543184665,-0.021538062382914558,0.019723059094871598,0.039393939393939426
drop_turnover_60d_std_resid,lag1_turnover_60d_std__resid_style,validation,10,-0.171312510254492,-0.3034783164468926,-0.10759963847305865,-0.053212569123522124,-0.055811719871673104,-0.1046399499595646,1.3835051546391752,2.344329896907216,-0.13467120542968158,-0.008378001016792758,-0.055845125522302363,1.2144329896907216,-0.03664130482481043,-0.04483456810672937,3.340565062925904e-05,0.16907216494845367
drop_turnover_60d_std_resid,lag1_turnover_60d_std__resid_style,validation,20,-0.18381757282504185,-0.32356597927719055,-0.11920826355535952,-0.06573101656073399,-0.030730987046172942,-0.05830402938353463,1.1422680412371136,1.9432989690721651,-0.1342514997028701,-0.005598877915552913,-0.05857109205519884,0.9896907216494846,-0.04956607312217176,-0.06013213864518108,0.027840105009025895,0.152577319587629
drop_turnover_60d_std_resid,lag1_turnover_60d_std__resid_style,validation,30,-0.17041084056122935,-0.30201899513434394,-0.10449951935241653,-0.05004997941491485,-0.037036435710881,-0.07005883029775395,0.897594501718213,1.6199312714776635,-0.15419469679198183,-0.028762368164924612,-0.06664694436199903,0.8103092783505156,-0.016216143769247515,-0.021287611249990235,0.029610508651118028,0.0872852233676974
drop_amount_rank_pct_resid,lag1_amount_rank_pct__resid_style,test,10,0.37607971267919504,0.5189975905421875,-0.16988795242311783,-0.0861516689900369,-0.32978994649340665,-0.40786724483099435,1.0787878787878786,1.9787878787878788,0.3304591286275993,-0.11226139525128842,-0.33066114686758075,1.1636363636363638,0.04562058405159575,0.02610972626125152,0.000871200374174097,-0.08484848484848517
drop_amount_rank_pct_resid,lag1_amount_rank_pct__resid_style,test,20,0.44702748921645363,0.622363497243462,-0.1288866818620843,-0.039291796957912184,-0.1811927659613397,-0.2303215430205583,0.8742424242424244,1.5454545454545456,0.4127107637935603,-0.06089006450175227,-0.28015431076652875,0.9772727272727275,0.034316725422893324,0.02159826754384009,0.09896154480518904,-0.10303030303030314
