split,trade_date,k,keep_multiplier,keep_rank,cost_bps,daily_count,top_turnover,bottom_turnover,long_short_turnover,top_transaction_cost,bottom_transaction_cost,long_short_transaction_cost,top_return_gross,top_return_net,bottom_return_gross,bottom_short_return_net,long_short_gross,long_short_net,benchmark_return,universe_equal_return,top_excess_vs_benchmark_net,top_excess_vs_universe_net
test,20250414,20,2.0,40,10.0,88,1.0000000000000002,0.6,1.6,0.001,0.0006,0.0016,-0.0020242113052551,-0.0030242113052551,-0.0123175181609787,0.0117175181609787,0.0102933068557236,0.0086933068557236,0.0059005251504633,-0.0032067927001354,-0.0089247364557184,0.0001825813948803
test,20250421,20,2.0,40,10.0,89,0.8000000000000002,0.6,1.4,0.0008,0.0006,0.0014,-0.0051915032784823,-0.0059915032784823,-0.0236390923038291,0.0230390923038291,0.0184475890253468,0.0170475890253468,-0.0050718043587419,-0.01869432185763,-0.0009196989197403,0.0127028185791477
test,20250428,20,2.0,40,10.0,84,1.0000000000000002,0.9000000000000002,1.9000000000000004,0.001,0.0009,0.0019,0.0550312019755033,0.0540312019755033,0.0374825148475514,-0.0383825148475514,0.0175486871279518,0.0156486871279518,0.0491068629243549,0.0480209898236303,0.0049243390511483,0.006010212151873
test,20250508,20,2.0,40,10.0,83,0.8000000000000002,0.3999999999999999,1.2000000000000002,0.0008,0.0003999999999999,0.0012,-0.025494853743836,-0.026294853743836,-0.0153131025329687,0.0149131025329687,-0.0101817512108672,-0.0113817512108672,0.0067973528614968,-0.0173743270172343,-0.0330922066053328,-0.0089205267266016
test,20250515,20,2.0,40,10.0,82,0.9000000000000002,0.3,1.2000000000000002,0.0009,0.0003,0.0012,-0.006224290420896,-0.007124290420896,-0.0094976870360585,0.0091976870360585,0.0032733966151625,0.0020733966151625,0.0011348605139065,-0.0114163845231373,-0.0082591509348026,0.0042920941022412
test,20250522,20,2.0,40,10.0,84,0.9000000000000002,0.7000000000000001,1.6000000000000003,0.0009,0.0007,0.0016,-0.0012627401206551,-0.0021627401206551,-0.0160133326692303,0.0153133326692303,0.0147505925485752,0.0131505925485752,-0.0161409155561139,-0.0032710602103066,0.0139781754354588,0.0011083200896515
test,20250529,20,2.0,40,10.0,76,0.3999999999999999,0.4999999999999999,0.8999999999999999,0.0003999999999999,0.0004999999999999,0.0008999999999999,0.014732520582965,0.014332520582965,0.0208138420189076,-0.0213138420189076,-0.0060813214359425,-0.0069813214359425,0.0133597297197654,0.0151823680310813,0.0009727908631996,-0.0008498474481162
test,20250606,20,2.0,40,10.0,77,0.8000000000000002,0.9000000000000002,1.7000000000000004,0.0008,0.0009,0.0017,-0.0118137716980678,-0.0126137716980678,0.0033619957677906,-0.0042619957677906,-0.0151757674658585,-0.0168757674658585,0.002152017276547,-0.0058478079824709,-0.0147657889746148,-0.0067659637155968
test,20250613,20,2.0,40,10.0,77,0.3,0.3,0.6,0.0003,0.0003,0.0006,-0.0255945057783999,-0.0258945057783999,-0.0216247935219459,0.0213247935219459,-0.0039697122564539,-0.0045697122564539,-0.0166016235642968,-0.0195737465203262,-0.009292882214103,-0.0063207592580736
test,20250620,20,2.0,40,10.0,77,0.6,0.3,0.8999999999999999,0.0006,0.0003,0.0009,0.0515792632204129,0.0509792632204129,0.0309624309014513,-0.0312624309014513,0.0206168323189615,0.0197168323189615,0.0569439155330327,0.0526049649943668,-0.0059646523126197,-0.0016257017739539
