split,trade_date,k,num_buckets,k_per_bucket,rotated_bucket,daily_count,gross_return,net_return,benchmark_return,executable_universe_return,excess_vs_benchmark,excess_vs_executable_universe,transaction_cost,filled_turnover,desired_turnover,position_count,buy_rejects,sell_rejects,active_buckets,portfolio_nav
test,20250704,30,5,6,2,85,0.009474802822045367,0.009417627282578866,0.02358871996267564,0.026719010534500435,-0.014171092680096775,-0.01730138325192157,5.71755394665e-05,0.038117026311,1.9366479044596865,100,0,4,5,10000000.0
test,20250707,30,5,6,3,86,0.02209900846453339,0.02200924044230539,0.031397402048215506,0.028613224755110543,-0.009388161605910116,-0.0066039843128051536,8.9768022228e-05,0.059845348151999996,1.9113714730238613,100,0,4,5,10000000.0
test,20250708,30,5,6,4,86,0.02580489047965282,0.02572906807698982,0.024745664641825815,0.016337579445019713,0.0009834034351640063,0.009391488631970108,7.582240266300001e-05,0.050548268442000006,1.9128549202888225,101,0,4,5,10000000.0
test,20250709,30,5,6,0,86,0.028285039000109473,0.028238158316521208,0.020835918577344126,0.02114240622666777,0.007402239739177082,0.0070957520898534375,4.688068358826658e-05,0.031253789058844385,1.9164511212638882,102,0,3,5,10000000.0
test,20250710,30,5,6,1,86,0.04659921556494529,0.04642319859653352,0.036422235469832476,0.034348986550990356,0.010000963126701047,0.012074212045543167,0.00017601696841177165,0.11734464560784777,1.9275167559854391,103,0,3,5,10000000.0
test,20250711,30,5,6,2,86,0.032749575141523386,0.03265593949760744,0.03174088241168227,0.024409760598398597,0.0009150570859251736,0.008246178899208846,9.363564391594217e-05,0.06242376261062811,1.918078201135087,103,0,4,5,10000000.0
test,20250714,30,5,6,3,86,0.01864156907610447,0.01854040807354357,0.04543109064302553,0.028628341541085067,-0.02689068256948196,-0.010087933467541499,0.00010116100256090238,0.06744066837393492,1.9090966663219102,105,0,4,5,10000000.0
test,20250715,30,5,6,4,86,-0.0080212742791866,-0.0081047999247291,0.03391728468438204,0.023790486132166576,-0.042022084609111145,-0.03189528605689568,8.35256455425e-05,0.055683763695,1.9028742969936867,107,0,4,5,10000000.0
test,20250716,30,5,6,0,85,-0.0028082063638460745,-0.0028906207080354623,0.03608510864210834,0.021495959151537267,-0.0389757293501438,-0.02438657985957273,8.241434418938778e-05,0.05494289612625852,1.9123549165742617,107,0,3,5,10000000.0
test,20250717,30,5,6,1,86,-0.0007198079090472298,-0.0007977476022867297,0.03350804595513046,0.02958585318513566,-0.03430579355741719,-0.030383600787422388,7.793969323949998e-05,0.05195979549299999,1.5885185890175872,107,0,3,5,10000000.0
test,20250718,30,5,6,2,86,0.017101287029563143,0.016999437007280644,0.027623847683422076,0.03233406698443649,-0.010624410676141432,-0.015334629977155848,0.00010185002228249998,0.06790001485499998,1.9194831400169687,108,0,4,5,10000000.0
test,20250721,30,5,6,3,87,0.012867173631039269,0.012746460994206055,0.02861103130489906,0.031542157212147134,-0.015864570310693004,-0.01879569621794108,0.00012071263683321346,0.0804750912221423,1.8863005841987763,107,0,4,5,10000000.0
test,20250722,30,5,6,4,87,0.022618327660290125,0.022482701357605023,0.04142988572200079,0.041796449235217935,-0.01894718436439577,-0.019313747877612912,0.0001356263026851022,0.09041753512340146,1.87943026076207,106,0,4,5,10000000.0
test,20250723,30,5,6,0,87,0.007044139687648153,0.006952752225219696,0.02467356884645211,0.03058595178327018,-0.017720816621232413,-0.023633199558050485,9.138746242845738e-05,0.06092497495230492,1.8910488526635154,104,0,3,5,10000000.0
test,20250724,30,5,6,1,87,-0.01502076245815625,-0.01513528007794925,-0.007271483660576283,-0.003299850663107081,-0.007863796417372967,-0.011835429414842169,0.00011451761979299998,0.07634507986199998,1.94485282113188,105,0,3,5,10000000.0
test,20250725,30,5,6,2,86,-0.014950460540474175,-0.015046970080573199,-0.007448070573704668,-0.0034572356987342154,-0.007598899506868531,-0.011589734381838983,9.650954009902351e-05,0.064339693399349,1.937636949216913,105,0,5,5,10000000.0
test,20250728,30,5,6,3,87,0.004965653893784111,0.004858328535647111,-0.01196838482358098,0.005124877881583291,0.016826713359228092,-0.0002665493459361795,0.000107325358137,0.071550238758,1.8984975856724273,106,0,5,5,10000000.0
test,20250729,30,5,6,4,87,0.0049007469419834635,0.004806620515279463,-0.026268987151761625,-0.0008837696220860701,0.031075607667041087,0.005690390137365534,9.4126426704e-05,0.062750951136,1.9049708437601476,107,0,5,5,10000000.0
test,20250730,30,5,6,0,87,0.026974913007172353,0.026915823929782094,-0.0036866413944264265,0.012433230679715973,0.03060246532420852,0.01448259325006612,5.908907739025865e-05,0.03939271826017243,1.9051548880315494,107,0,4,5,10000000.0
test,20250731,30,5,6,1,87,0.006965211684410205,0.006878715730469206,0.006248257858801676,0.015290230228286733,0.0006304578716675299,-0.008411514497817529,8.649595394100001e-05,0.057663969294,1.9180078287191575,108,0,4,5,10000000.0
test,20250801,30,5,6,2,87,0.007415287203327842,0.007353006046740915,0.004879044709205971,0.012733228873981045,0.0024739613375349447,-0.005380222827240129,6.228115658692673e-05,0.04152077105795115,1.9048086613193682,107,0,5,5,10000000.0
test,20250804,30,5,6,3,86,0.007796819484168993,0.007706327313789072,0.019488948187547317,0.018059473258642725,-0.011782620873758245,-0.010353145944853653,9.049217037992156e-05,0.06032811358661437,1.8602209808093764,106,0,5,5,10000000.0
test,20250805,30,5,6,4,87,0.018287393967359178,0.018214874922010408,0.028174142114727907,0.024257448630994872,-0.009959267192717499,-0.006042573708984464,7.251904534876932e-05,0.04834603023251288,1.8920212891799675,106,0,5,5,10000000.0
test,20250806,30,5,6,0,88,0.02755079425651205,0.02749659867073955,0.05830947071599146,0.03447448158677682,-0.03081287204525191,-0.0069778829160372716,5.41955857725e-05,0.036130390515,1.8882736496955619,107,0,4,5,10000000.0
test,20250807,30,5,6,1,88,0.017728108824199413,0.017641899120320076,0.05411951686931138,0.02667518319573559,-0.0364776177489913,-0.009033284075415513,8.62097038793365e-05,0.05747313591955767,1.8966545858706325,106,0,4,5,10000000.0
test,20250808,30,5,6,2,88,0.08105835379404594,0.08095830309193905,0.08580257836577254,0.05635702616665974,-0.004844275273833493,0.02460127692527931,0.0001000507021068924,0.0667004680712616,1.9034185462134354,106,0,5,5,10000000.0
test,20250811,30,5,6,3,88,0.09108624172674654,0.09101532940535592,0.09512720833728139,0.06427139321273843,-0.004111878931925467,0.026743936192617487,7.091232139061161e-05,0.0472748809270744,1.8469458767768927,106,0,5,5,10000000.0
test,20250812,30,5,6,4,88,0.05591967905018931,0.05575530271970439,0.07983105159491499,0.05074768284094928,-0.0240757488752106,0.005007619878755115,0.00016437633048491871,0.10958422032327914,1.8567440172971263,105,0,5,5,10000000.0
test,20250813,30,5,6,0,88,0.04378667175376005,0.043730590459124544,0.044521977752810526,0.0398244917457151,-0.0007913872936859828,0.0039060987134094463,5.608129463549999e-05,0.03738752975699999,1.8774887343915698,105,0,4,5,10000000.0
test,20250814,30,5,6,1,87,0.05313135682959128,0.05285787679581615,0.05094232984893354,0.05374425117288014,0.0019155469468826042,-0.0008863743770639934,0.0002734800337751326,0.18232002251675505,1.8786643899468758,102,0,3,5,10000000.0
test,20250815,30,5,6,2,88,0.028443781775284477,0.028148331219737727,0.058532517339565215,0.0473675453174917,-0.03038418611982749,-0.01921921409775397,0.00029545055554674934,0.19696703703116622,1.8678804821665858,98,0,4,5,10000000.0
test,20250818,30,5,6,3,87,0.0336990638694769,0.033617230811811595,0.060159884779452,0.052914291715557706,-0.026542653967640405,-0.01929706090374611,8.183305766530618e-05,0.05455537177687079,1.8305595527751255,95,0,4,5,10000000.0
test,20250819,30,5,6,4,86,0.052110856021814575,0.05196153968099058,0.053957556378260385,0.059748128904496954,-0.0019960166972698076,-0.007786589223506377,0.00014931634082400002,0.09954422721600001,1.826104047533986,95,0,5,5,10000000.0
test,20250820,30,5,6,0,88,0.015244445572264042,0.015178598460694621,0.044309991504238866,0.034653824592349496,-0.029131393043544243,-0.019475226131654873,6.584711156942063e-05,0.04389807437961376,1.847854990931113,94,0,4,5,10000000.0
test,20250821,30,5,6,1,88,0.043112958093506897,0.04292517381070708,0.08927362314288612,0.06959335064221926,-0.046348449332179034,-0.02666817683151218,0.0001877842827998153,0.12518952186654353,1.8405528494406385,93,0,3,5,10000000.0
test,20250822,30,5,6,2,88,-0.021766743620302186,-0.021992911316923186,0.07737864181541387,0.03154112490183652,-0.09937155313233706,-0.053534036218759705,0.000226167696621,0.150778464414,1.8301226934211647,94,0,4,5,10000000.0
test,20250825,30,5,6,3,86,-0.008624290638599928,-0.008709291677114928,0.06999090043954537,0.043032608672486844,-0.0787001921166603,-0.05174190034960177,8.5001038515e-05,0.056667359009999994,1.8160642155845632,95,0,4,5,10000000.0
test,20250826,30,5,6,4,87,-0.06430109816764139,-0.06450869971513605,0.04744332027242515,0.007666058746527174,-0.1119520199875612,-0.07217475846166323,0.0002076015474946602,0.1384010316631068,1.8024997296174756,93,0,3,5,10000000.0
test,20250827,30,5,6,0,88,-0.0696513653423606,-0.06973938110123463,0.06469388845506496,0.01806162051814913,-0.13443326955629958,-0.08780100161938377,8.801575887403478e-05,0.058677172582689854,1.833500886873716,92,0,3,5,10000000.0
test,20250828,30,5,6,1,86,-0.10759578135870045,-0.10782288191489744,-0.01801223979298039,-0.03993088854783019,-0.08981064212191706,-0.06789199336706725,0.00022710055619699996,0.15140037079799998,1.8276997768790042,92,0,2,5,10000000.0
test,20250829,30,5,6,2,86,-0.07691278319357268,-0.07710178039819068,0.023547699594467453,-0.0037586395216060624,-0.10064947999265814,-0.07334314087658463,0.00018899720461799997,0.12599813641199997,1.7985105246229185,92,0,3,5,10000000.0
test,20250901,30,5,6,3,86,-0.07291073621281684,-0.07299558240264137,-0.007823229991001157,-0.010183480002764147,-0.06517235241164021,-0.06281210239987722,8.484618982453628e-05,0.056564126549690855,1.8212267305796574,92,0,4,5,10000000.0
test,20250902,30,5,6,4,87,-0.043738171731895904,-0.04390794619734255,-0.0014810830804745656,-0.00540823260497198,-0.04242686311686798,-0.03849971359237057,0.00016977446544664556,0.11318297696443037,1.7942082990190875,91,0,3,5,10000000.0
test,20250903,30,5,6,0,88,-0.00523931117416333,-0.005330092800144085,0.001688606584155039,0.0019353382479530658,-0.007018699384299124,-0.007265431048097151,9.07816259807552e-05,0.06052108398717013,1.8293450971106902,90,0,3,5,10000000.0
test,20250904,30,5,6,1,88,0.05412766171384444,0.05395262731573818,0.09995521654169037,0.06593048660599005,-0.04600258922595219,-0.011977859290251865,0.0001750343981062588,0.11668959873750587,1.7765957957296703,89,0,2,5,10000000.0
test,20250905,30,5,6,2,88,0.032561412315886995,0.03239741934643023,0.021040598935629706,0.014468340871319606,0.011356820410800522,0.017929078475110622,0.0001639929694567685,0.10932864630451233,1.7377343952476825,88,0,3,5,10000000.0
test,20250908,30,5,6,3,85,0.02007036003199993,0.01995091179351972,0.04531975220356532,0.0203679163014553,-0.025368840410045602,-0.0004170045079355811,0.0001194482384802102,0.0796321589868068,1.8413944239009576,89,0,3,5,10000000.0
test,20250909,30,5,6,4,88,0.042321851237957474,0.042208287183702974,0.07638549992391819,0.041585312748980134,-0.034177212740215214,0.0006229744347228394,0.00011356405425450001,0.075709369503,1.8043743738417262,91,0,3,5,10000000.0
test,20250910,30,5,6,0,88,0.026607960499038148,0.02649237914205679,0.08369635357775262,0.052446160565782746,-0.05720397443569583,-0.025953781423725956,0.00011558135698135877,0.07705423798757251,1.8850186475210793,91,0,3,5,10000000.0
test,20250911,30,5,6,1,88,-0.014906724645468045,-0.015071922104869637,0.013787119621627042,0.007612928078095762,-0.028859041726496677,-0.0226848501829654,0.00016519745940159273,0.11013163960106181,1.8572995226758224,92,0,2,5,10000000.0
test,20250912,30,5,6,2,88,-0.010231305034879389,-0.010348361008475889,0.023367787338653745,-0.0013449196539396461,-0.03371614834712963,-0.009003441354536243,0.0001170559735965,0.07803731573099999,1.9425270134592654,95,0,3,5,10000000.0
test,20250915,30,5,6,3,88,0.014121242666706574,0.01399578173678347,0.013602232927977687,0.010191670966512105,0.0003935488088057833,0.0038041107702713652,0.0001254609299231048,0.08364061994873655,1.9565624844066245,95,0,3,5,10000000.0
test,20250916,30,5,6,4,86,-0.002613255456758396,-0.002737510764782396,0.008912551688679216,0.0038221561364133695,-0.011650062453461611,-0.006559666901195766,0.00012425530802399998,0.08283687201599998,1.9552533748253988,97,0,3,5,10000000.0
test,20250917,30,5,6,0,88,0.024776246772748582,0.024691890349853463,0.012145314587969969,0.02554569384711989,0.012546575761883495,-0.0008538034972664262,8.435642289512017e-05,0.05623761526341345,1.9727119290803279,99,0,3,5,10000000.0
test,20250918,30,5,6,1,88,0.0437328846219626,0.043617436929485096,0.04519390337623452,0.039683554049131965,-0.0015764664467494277,0.00393388288035313,0.00011544769247750534,0.07696512831833689,1.9641129827396937,100,0,2,5,10000000.0
test,20250919,30,5,6,2,88,0.009699645339392948,0.009592279992010448,0.01958147248943587,0.020238489706779682,-0.009989192497425421,-0.010646209714769234,0.00010736534738250002,0.07157689825500001,1.859250599627257,101,0,3,5,10000000.0
test,20250922,30,5,6,3,88,-0.0005616224343117395,-0.0006840169167306124,0.04186915014582415,0.023861191897043287,-0.04255316706255476,-0.0245452088137739,0.00012239448241887298,0.08159632161258198,1.86470918487056,100,0,3,5,10000000.0
