run,split,k,style_col,top_mean,bottom_mean,top_minus_bottom
new_alpha13,validation,10,lag1_turnover_rate_f,2.1682292561983467,4.38663888429752,-2.2184096280991734
new_alpha13,validation,10,lag1_turnover_cost_proxy,0.12093997841366265,0.22967858163533392,-0.1087386032216713
new_alpha13,validation,10,lag1_ret_20d_std,0.024246569719579933,0.03392913431725579,-0.009682564597675861
new_alpha13,validation,10,lag1_ret_60d_std,0.02689248988440716,0.03191291996586651,-0.005020430081459345
new_alpha13,validation,10,lag1_amplitude,0.03373220415133603,0.04984064855414433,-0.016108444402808297
new_alpha13,validation,10,lag1_limit_position,0.48773804634670753,0.5180065420146144,-0.030268495667906847
new_alpha13,validation,10,lag1_limit_touch_up,0.0006198347107438016,0.0076446280991735545,-0.007024793388429752
new_alpha13,validation,10,lag1_limit_touch_down,0.0,0.0002066115702479339,-0.0002066115702479339
new_alpha13,validation,10,lag1_near_limit_up_2pct,0.001446280991735537,0.007231404958677686,-0.005785123966942148
new_alpha13,validation,10,lag1_near_limit_down_2pct,0.0,0.0002066115702479339,-0.0002066115702479339
new_alpha13,validation,30,lag1_log_circ_mv,14.710325639650566,14.905507326559203,-0.19518168690863574
new_alpha13,validation,30,lag1_amount_20d_mean,540692.3981042665,919211.3863697473,-378518.9882654807
new_alpha13,validation,30,lag1_amount_rank_pct,0.4875944453115151,0.6329106736949809,-0.14531622838346578
new_alpha13,validation,30,lag1_turnover_rate_f,2.1736714807162536,3.51908167355372,-1.3454101928374655
new_alpha13,validation,30,lag1_turnover_cost_proxy,0.12052239431129318,0.1869400849349078,-0.06641769062361462
new_alpha13,validation,30,lag1_ret_20d_std,0.02436736982591133,0.030799736892022207,-0.006432367066110882
new_alpha13,validation,30,lag1_ret_60d_std,0.026767657616853482,0.0303205123130073,-0.003552854696153814
new_alpha13,validation,30,lag1_amplitude,0.03402059318045421,0.04376302933577731,-0.009742436155323098
new_alpha13,validation,30,lag1_limit_position,0.4919618655792014,0.5086150950561689,-0.01665322947696746
new_alpha13,validation,30,lag1_limit_touch_up,0.0009641873278236915,0.004614325068870524,-0.003650137741046832
new_alpha13,validation,30,lag1_limit_touch_down,0.0002066115702479339,0.00034435261707988987,-0.00013774104683195594
new_alpha13,validation,30,lag1_near_limit_up_2pct,0.0015151515151515152,0.004614325068870524,-0.0030991735537190084
new_alpha13,validation,30,lag1_near_limit_down_2pct,0.00034435261707988987,0.0002754820936639118,6.887052341597796e-05
new_alpha18_resid,test,10,lag1_log_circ_mv,14.958376590294646,15.50674453863842,-0.5483679483437741
new_alpha18_resid,test,10,lag1_amount_20d_mean,1386662.247026596,3333129.9237371576,-1946467.676710562
new_alpha18_resid,test,10,lag1_amount_rank_pct,0.478260995424997,0.7347576256383672,-0.25649663021337016
new_alpha18_resid,test,10,lag1_turnover_rate_f,4.005345106382979,7.100493799392098,-3.0951486930091185
new_alpha18_resid,test,10,lag1_turnover_cost_proxy,0.19806145920799426,0.32643532776684664,-0.1283738685588524
new_alpha18_resid,test,10,lag1_ret_20d_std,0.02795304037597137,0.04135848642273345,-0.013405446046762083
new_alpha18_resid,test,10,lag1_ret_60d_std,0.029979818276482058,0.03818587424343522,-0.008206055966953153
new_alpha18_resid,test,10,lag1_amplitude,0.03690942353694545,0.055742909825922,-0.018833486288976558
new_alpha18_resid,test,10,lag1_limit_position,0.48947891621158784,0.5176935240930939,-0.028214607881505947
new_alpha18_resid,test,10,lag1_limit_touch_up,0.00030395136778115504,0.007598784194528876,-0.00729483282674772
new_alpha18_resid,test,10,lag1_limit_touch_down,0.0006079027355623101,0.0006079027355623101,0.0
new_alpha18_resid,test,10,lag1_near_limit_up_2pct,0.0006079027355623101,0.00729483282674772,-0.006686930091185411
new_alpha18_resid,test,10,lag1_near_limit_down_2pct,0.0006079027355623101,0.00030395136778115504,0.00030395136778115504
new_alpha18_resid,test,30,lag1_log_circ_mv,14.994401149883176,15.308587793842701,-0.3141866439595257
new_alpha18_resid,test,30,lag1_amount_20d_mean,1277928.6441390326,2659104.3147713626,-1381175.6706323302
new_alpha18_resid,test,30,lag1_amount_rank_pct,0.4463916531047306,0.6653898616369684,-0.21899820853223786
new_alpha18_resid,test,30,lag1_turnover_rate_f,3.441859270516717,5.949817841945289,-2.507958571428571
new_alpha18_resid,test,30,lag1_turnover_cost_proxy,0.17492971655955689,0.2938771809798058,-0.11894746442024895
new_alpha18_resid,test,30,lag1_ret_20d_std,0.02492292526646563,0.03509932306943654,-0.01017639780297091
new_alpha18_resid,test,30,lag1_ret_60d_std,0.027651322578400927,0.03395989476446165,-0.006308572186060722
new_alpha18_resid,test,30,lag1_amplitude,0.03346970680851284,0.0483038993902126,-0.014834192581699757
new_alpha18_resid,test,30,lag1_limit_position,0.4932048862236633,0.5135365649995558,-0.020331678775892446
new_alpha18_resid,test,30,lag1_limit_touch_up,0.0009118541033434652,0.0047619047619047615,-0.0038500506585612965
new_alpha18_resid,test,30,lag1_limit_touch_down,0.000911854103343465,0.00060790273556231,0.00030395136778115504
new_alpha18_resid,test,30,lag1_near_limit_up_2pct,0.0009118541033434652,0.004559270516717325,-0.00364741641337386
new_alpha18_resid,test,30,lag1_near_limit_down_2pct,0.000911854103343465,0.0005065856129685916,0.0004052684903748733
new_alpha18_resid,validation,10,lag1_log_circ_mv,14.72925476783153,15.006226715550966,-0.2769719477194356
new_alpha18_resid,validation,10,lag1_amount_20d_mean,645204.6130586157,1233637.059279338,-588432.446220722
new_alpha18_resid,validation,10,lag1_amount_rank_pct,0.47252656630916046,0.7379835404018346,-0.26545697409267405
new_alpha18_resid,validation,10,lag1_turnover_rate_f,2.299106033057851,4.720136404958677,-2.4210303719008266
new_alpha18_resid,validation,10,lag1_turnover_cost_proxy,0.11918682705497127,0.24765998840353964,-0.12847316134856834
